iter,step,x,y,z,error_m,timestamp
-9,2746,0.11405393732749988,-0.24665539394340466,0.49,0.0014739375031099244,2026-01-04 21-39-09
-9,2747,0.11699075424083812,-0.2450393478211361,0.49,0.002105721442628862,2026-01-04 21-39-09
-9,2748,0.11991751169101732,-0.24342308781118607,0.49,0.0025783021800786727,2026-01-04 21-39-09
-9,2749,0.1228344761477215,-0.2418064268937472,0.49,0.002858559785841326,2026-01-04 21-39-09
-9,2750,0.1257419252570168,-0.24018917222252026,0.49,0.002996504898278983,2026-01-04 21-39-09
-9,2751,0.12864014736926122,-0.2385711254060509,0.49,0.002927547249997259,2026-01-04 21-39-09
-9,2752,0.13152944105454495,-0.23695208279732,0.49,0.0027032117209748194,2026-01-04 21-39-10
-9,2753,0.13441011460619212,-0.2353318357913434,0.49,0.0023011525464416913,2026-01-04 21-39-10
-9,2754,0.13728248553285505,-0.2337101711305329,0.49,0.001912860346498782,2026-01-04 21-39-10
-9,2755,0.1401468800397343,-0.23208687121756288,0.49,0.0015267272269678498,2026-01-04 21-39-10
-9,2756,0.14300363249946066,-0.23046171443548102,0.49,0.00120766446663312,2026-01-04 21-39-10
-7,2772,0.23169631658323914,-0.21737814096549848,0.49,0.001721245672615743,2026-01-04 21-39-39
-7,2773,0.23437217091898804,-0.21517825329802084,0.49,0.002486078944504043,2026-01-04 21-39-39
-7,2774,0.23704277066237925,-0.2129772786210078,0.49,0.0030399829406863184,2026-01-04 21-39-39
-7,2775,0.2397084677547396,-0.21077494810495429,0.49,0.0034224209767921994,2026-01-04 21-39-39
-7,2776,0.2423696117869458,-0.20857099500242157,0.49,0.003526435059783989,2026-01-04 21-39-40
-7,2777,0.24502654941850174,-0.206365155166043,0.49,0.003356523299687992,2026-01-04 21-39-40
-7,2778,0.24767962380120334,-0.20415716756268557,0.49,0.0029317757616453867,2026-01-04 21-39-40
-7,2779,0.25032917400814264,-0.20194677478309161,0.49,0.002380188312984126,2026-01-04 21-39-40
-7,2780,0.2529755344688156,-0.19973372354631078,0.49,0.001768731331772273,2026-01-04 21-39-40
-6,2735,0.13732323335787916,-0.24340178947603386,0.49,0.002297337895843222,2026-01-04 21-39-55
-6,2736,0.14059435216919428,-0.24080977864326034,0.49,0.0032221864968603256,2026-01-04 21-39-55
-6,2737,0.14384165177663244,-0.2382302226104279,0.49,0.003763509875330498,2026-01-04 21-39-55
-6,2738,0.147065042876572,-0.23566318394699692,0.49,0.003764369906534061,2026-01-04 21-39-55
-6,2739,0.1502644551911357,-0.23310870879019166,0.49,0.003300102076122574,2026-01-04 21-39-55
-6,2740,0.1534398371612687,-0.23056682714634721,0.49,0.0028281268509554483,2026-01-04 21-39-55
2,2752,0.44160167105267134,0.08284215676596762,0.49,0.001218196667155454,2026-01-04 21-45-00
2,2753,0.44454684223466373,0.08446177562394429,0.49,0.0015399659112188648,2026-01-04 21-45-00
2,2754,0.447482136639255,0.086081997527924,0.49,0.0019037082094863504,2026-01-04 21-45-00
2,2755,0.4504079410751654,0.08770303322684878,0.49,0.0022805121515249048,2026-01-04 21-45-00
2,2756,0.4533246491009716,0.08932509764337923,0.49,0.002645843822801246,2026-01-04 21-45-00
2,2757,0.45623266051108363,0.09094840954963145,0.49,0.00298161209750956,2026-01-04 21-45-00
2,2758,0.45913238081223956,0.09257319123642799,0.49,0.0032803562361854565,2026-01-04 21-45-00
2,2759,0.4620242206910517,0.09419966817635492,0.49,0.0035460441068769595,2026-01-04 21-45-00
2,2760,0.4649085954731474,0.09582806868092551,0.49,0.0037914339217874084,2026-01-04 21-45-00
2,2761,0.4677859245744539,0.09745862355216105,0.49,0.004034280053257977,2026-01-04 21-45-00
2,2762,0.47065663094518806,0.09909156572890979,0.49,0.004294479281136603,2026-01-04 21-45-00
2,2763,0.4735211405071206,0.10072712992823661,0.49,0.004592987216415264,2026-01-04 21-45-01
2,2764,0.47637988158469763,0.10236555228222782,0.49,0.005780119313811442,2026-01-04 21-45-01
2,2765,0.47923328433061474,0.1040070699705685,0.49,0.007978168934387606,2026-01-04 21-45-01
2,2766,0.4820817801464515,0.10565192084926368,0.49,0.01006423646122185,2026-01-04 21-45-01
