iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-22 13:06:51,1571,82,14,13,13,13,19,10
-3,2025-12-22 13:07:13,1571,84,12,11,16,12,17,16
-2,2025-12-22 13:07:34,1571,109,19,25,8,20,21,16
-1,2025-12-22 13:07:57,1571,90,7,15,13,16,23,16
0,2025-12-22 13:08:19,1571,104,14,21,5,28,19,17
1,2025-12-22 13:08:48,1571,148,27,23,13,20,32,33
2,2025-12-22 13:09:21,1571,129,22,29,3,10,27,38
3,2025-12-22 13:09:57,1571,134,29,26,8,9,31,31
4,2025-12-22 13:10:47,1571,94,6,3,7,16,31,31
5,2025-12-22 13:11:16,1571,139,26,27,15,9,31,31
6,2025-12-22 13:12:04,1571,115,28,14,13,2,24,34
7,2025-12-22 13:12:37,1571,128,29,30,7,0,32,30
8,2025-12-22 13:13:10,1571,132,28,28,10,6,30,30
9,2025-12-22 13:13:45,1571,118,26,16,4,3,39,30
10,2025-12-22 13:14:18,1571,135,25,27,11,11,30,31
11,2025-12-22 13:14:59,1571,135,24,30,11,14,26,30
12,2025-12-22 13:15:41,1571,82,8,16,13,18,7,20
13,2025-12-22 13:16:22,1571,136,22,23,10,14,31,36
14,2025-12-22 13:17:01,1571,90,7,9,20,22,8,24
15,2025-12-22 13:17:38,1571,80,11,8,11,15,23,12
16,2025-12-22 13:18:32,1571,135,27,22,16,8,31,31
17,2025-12-22 13:19:24,1571,69,15,9,8,10,12,15
18,2025-12-22 13:20:14,1571,78,16,7,11,14,17,13
19,2025-12-22 13:24:14,1571,73,12,10,10,15,16,10
20,2025-12-22 13:24:50,1571,71,16,9,11,10,16,9
21,2025-12-22 13:25:35,1571,77,18,10,10,11,18,10
22,2025-12-22 13:26:12,1571,74,12,7,18,11,16,10
23,2025-12-22 13:26:52,1571,98,19,10,18,15,21,15
24,2025-12-22 13:27:27,1571,80,11,7,14,15,18,15
25,2025-12-22 13:28:11,1571,84,12,13,15,14,14,16
26,2025-12-22 13:28:48,1571,75,11,9,13,13,19,10
27,2025-12-22 13:29:27,1571,77,13,11,18,13,15,7
28,2025-12-22 13:30:07,1571,71,11,7,15,13,15,10
29,2025-12-22 13:30:53,1571,70,9,12,13,12,15,9
30,2025-12-22 13:31:30,1571,75,10,12,13,16,16,8
31,2025-12-22 13:32:14,1571,71,16,11,6,9,20,9
32,2025-12-22 13:32:50,1571,69,13,10,10,9,16,11
33,2025-12-22 13:33:27,1571,86,14,9,17,13,18,15
34,2025-12-22 13:34:09,1571,88,11,10,12,13,25,17
35,2025-12-22 13:34:48,1571,108,18,23,11,15,25,16
36,2025-12-22 13:35:33,1571,78,15,5,12,16,17,13
37,2025-12-22 13:36:09,1571,77,11,10,13,10,19,14
38,2025-12-22 13:36:47,1571,74,14,8,14,10,16,12
39,2025-12-22 13:37:37,1571,69,10,9,12,13,19,6
40,2025-12-22 13:38:18,1571,76,9,11,14,15,14,13
41,2025-12-22 13:42:31,1571,70,13,6,15,12,14,10
42,2025-12-22 13:43:15,1571,43,5,2,10,2,1,23
43,2025-12-22 13:43:55,1571,79,11,9,18,15,17,9
44,2025-12-22 13:44:47,1571,96,15,14,16,8,24,19
45,2025-12-22 13:45:39,1571,88,14,15,16,5,20,18
46,2025-12-22 13:46:29,1571,79,8,12,12,5,22,20
47,2025-12-22 13:47:18,1571,95,21,10,12,10,25,17
48,2025-12-22 13:48:34,1530,61,4,5,14,8,18,12
49,2025-12-22 13:49:28,1570,88,19,4,11,13,24,17
50,2025-12-22 13:50:27,1532,67,10,5,18,4,12,18
51,2025-12-22 13:51:37,1531,55,9,5,11,3,17,10
52,2025-12-22 13:52:37,1571,92,12,18,13,15,25,9
53,2025-12-22 13:53:26,1571,108,14,21,10,21,19,23
54,2025-12-22 13:54:15,1549,53,4,3,12,11,10,13
55,2025-12-22 13:55:10,1540,59,0,4,20,6,13,16
56,2025-12-22 13:56:12,1555,63,3,4,13,9,12,22
57,2025-12-22 13:57:07,1532,43,1,0,12,2,23,5
58,2025-12-22 13:57:51,1540,62,1,10,18,7,14,12
59,2025-12-22 13:58:50,1571,93,13,9,17,12,27,15
60,2025-12-22 13:59:41,1536,71,9,3,13,7,20,19
61,2025-12-22 14:00:22,1540,62,1,10,18,7,14,12
62,2025-12-22 14:01:21,1536,69,1,10,19,7,26,6
63,2025-12-22 14:02:37,1571,95,13,18,11,15,19,19
64,2025-12-22 14:06:48,1571,85,19,3,11,10,29,13
65,2025-12-22 14:07:37,1550,56,0,6,16,4,24,6
66,2025-12-22 14:08:23,1571,100,15,22,16,19,25,3
67,2025-12-22 14:09:14,1570,90,16,14,9,13,26,12
68,2025-12-22 14:10:18,1571,108,14,15,18,18,28,15
69,2025-12-22 14:11:04,1569,90,12,24,10,17,24,3
70,2025-12-22 14:11:46,1571,93,13,18,13,9,27,13
71,2025-12-22 14:12:38,1543,98,16,15,14,23,15,15
72,2025-12-22 14:14:01,1571,78,9,17,15,8,28,1
73,2025-12-22 14:15:03,1530,62,10,3,17,5,15,12
74,2025-12-22 14:15:59,1536,65,0,5,21,8,19,12
75,2025-12-22 14:16:44,1567,83,21,9,11,3,19,20
76,2025-12-22 14:17:45,1568,84,18,8,9,13,19,17
77,2025-12-22 14:18:28,1570,101,11,15,16,20,25,14
78,2025-12-22 14:19:17,1569,83,14,14,12,9,22,12
79,2025-12-22 14:20:23,1535,64,3,4,13,13,15,16
80,2025-12-22 14:21:21,1571,97,12,21,8,15,21,20
81,2025-12-22 14:22:17,1571,77,8,14,10,5,31,9
82,2025-12-22 14:23:25,1533,63,6,4,15,4,19,15
83,2025-12-22 14:24:12,1570,88,12,13,15,19,18,11
84,2025-12-22 14:25:04,1563,89,16,17,11,16,18,11
85,2025-12-22 14:26:24,1571,144,24,29,11,19,29,32
86,2025-12-22 14:30:47,1533,37,0,1,11,2,15,8
87,2025-12-22 14:31:31,1541,57,3,5,15,1,20,13
88,2025-12-22 14:32:13,1570,85,12,9,12,10,24,18
89,2025-12-22 14:33:04,1537,58,6,2,9,6,24,11
90,2025-12-22 14:33:58,1560,78,15,11,7,12,23,10
91,2025-12-22 14:35:02,1569,82,12,8,12,19,19,12
92,2025-12-22 14:35:57,1550,62,4,2,19,6,10,21
93,2025-12-22 14:36:56,1571,83,12,16,11,14,15,15
94,2025-12-22 14:37:44,1570,82,11,18,12,15,18,8
95,2025-12-22 14:38:38,1571,91,10,14,10,19,23,15
96,2025-12-22 14:39:35,1571,87,6,18,12,15,28,8
97,2025-12-22 14:40:27,1570,85,15,16,6,11,19,18
98,2025-12-22 14:41:12,1541,57,3,5,15,1,20,13
99,2025-12-22 14:42:01,1541,57,3,5,15,1,20,13
100,2025-12-22 14:42:36,1541,57,3,5,15,1,20,13
101,2025-12-22 14:43:11,1541,57,3,5,15,1,20,13
102,2025-12-22 14:43:45,1541,57,3,5,15,1,20,13
103,2025-12-22 14:44:20,1541,57,3,5,15,1,20,13
104,2025-12-22 14:44:55,1541,57,3,5,15,1,20,13
105,2025-12-22 14:45:30,1541,57,3,5,15,1,20,13
106,2025-12-22 14:46:04,1541,57,3,5,15,1,20,13
107,2025-12-22 14:46:39,1541,57,3,5,15,1,20,13
108,2025-12-22 14:47:14,1541,57,3,5,15,1,20,13
109,2025-12-22 14:47:49,1541,57,3,5,15,1,20,13
110,2025-12-22 14:48:24,1541,57,3,5,15,1,20,13
111,2025-12-22 14:48:59,1541,57,3,5,15,1,20,13
112,2025-12-22 14:49:35,1541,57,3,5,15,1,20,13
113,2025-12-22 14:50:10,1541,57,3,5,15,1,20,13
114,2025-12-22 14:50:45,1541,57,3,5,15,1,20,13
115,2025-12-22 14:51:20,1541,57,3,5,15,1,20,13
116,2025-12-22 14:51:56,1541,57,3,5,15,1,20,13
117,2025-12-22 14:52:31,1541,57,3,5,15,1,20,13
118,2025-12-22 14:53:06,1541,57,3,5,15,1,20,13
119,2025-12-22 14:53:41,1541,57,3,5,15,1,20,13
120,2025-12-22 14:54:17,1541,57,3,5,15,1,20,13
121,2025-12-22 14:54:52,1541,57,3,5,15,1,20,13
122,2025-12-22 14:55:27,1541,57,3,5,15,1,20,13
123,2025-12-22 14:56:03,1541,57,3,5,15,1,20,13
124,2025-12-22 14:56:38,1541,57,3,5,15,1,20,13
125,2025-12-22 14:57:14,1541,57,3,5,15,1,20,13
126,2025-12-22 14:57:49,1541,57,3,5,15,1,20,13
127,2025-12-22 14:58:25,1541,57,3,5,15,1,20,13
128,2025-12-22 14:59:01,1541,57,3,5,15,1,20,13
129,2025-12-22 14:59:36,1541,57,3,5,15,1,20,13
130,2025-12-22 15:00:12,1541,57,3,5,15,1,20,13
131,2025-12-22 15:00:48,1541,57,3,5,15,1,20,13
132,2025-12-22 15:01:24,1541,57,3,5,15,1,20,13
133,2025-12-22 15:02:00,1541,57,3,5,15,1,20,13
134,2025-12-22 15:02:36,1541,57,3,5,15,1,20,13
