iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-12 12:37:34,1571,150,21,21,41,29,21,17
2,2025-10-12 12:38:50,1571,150,28,20,34,23,23,22
3,2025-10-12 12:40:26,1571,139,14,11,43,23,26,22
4,2025-10-12 12:42:10,1571,149,33,26,29,24,18,19
5,2025-10-12 12:44:08,1323,145,24,15,42,22,30,12
6,2025-10-12 12:45:47,1117,145,27,23,38,17,18,22
7,2025-10-12 12:47:16,1571,147,32,22,26,29,20,18
8,2025-10-12 12:53:11,1571,150,29,23,34,22,23,19
9,2025-10-12 12:54:50,1568,133,21,38,14,16,28,16
10,2025-10-12 12:56:21,1571,106,19,2,32,0,21,32
11,2025-10-12 12:58:07,1571,149,34,12,35,21,30,17
12,2025-10-12 12:59:35,1571,150,35,18,31,21,20,25
13,2025-10-12 13:01:40,1571,150,23,19,28,23,33,24
14,2025-10-12 13:03:16,1361,132,30,24,33,14,15,16
15,2025-10-12 13:05:21,1571,147,28,17,44,23,19,16
16,2025-10-12 13:06:46,1571,150,26,18,44,17,23,22
17,2025-10-12 13:08:44,1571,150,34,25,31,17,23,20
18,2025-10-12 13:10:14,1571,150,26,18,38,19,32,17
19,2025-10-12 13:11:56,1465,144,36,13,20,31,29,15
20,2025-10-12 13:13:30,1207,146,36,21,35,17,18,19
21,2025-10-12 13:14:59,1559,143,30,14,40,25,19,15
22,2025-10-12 13:19:04,1571,150,28,17,37,23,26,19
23,2025-10-12 13:20:33,1571,141,29,20,32,13,23,24
24,2025-10-12 13:21:55,1571,144,40,8,32,13,23,28
25,2025-10-12 13:23:22,1571,149,38,9,38,24,23,17
26,2025-10-12 13:24:48,1571,150,33,22,27,19,25,24
27,2025-10-12 13:26:11,1498,148,43,22,29,11,20,23
28,2025-10-12 13:27:39,1571,144,35,26,28,1,25,29
29,2025-10-12 13:29:17,1571,150,29,24,39,21,18,19
30,2025-10-12 13:31:03,864,138,36,19,20,14,26,23
31,2025-10-12 13:32:38,1571,140,28,17,28,9,24,34
32,2025-10-12 13:33:49,1571,150,33,20,27,19,24,27
33,2025-10-12 13:35:19,1571,149,28,40,27,18,13,23
34,2025-10-12 13:36:56,1296,149,29,18,38,18,29,17
35,2025-10-12 13:38:19,1571,150,24,17,44,22,27,16
36,2025-10-12 13:39:51,1571,150,35,20,33,19,19,24
37,2025-10-12 13:41:21,1571,150,27,19,41,18,23,22
38,2025-10-12 13:42:36,1571,150,40,26,12,34,21,17
39,2025-10-12 13:44:10,1571,135,37,17,23,25,20,13
40,2025-10-12 13:45:44,1571,150,31,19,30,17,30,23
41,2025-10-12 13:47:13,1571,111,25,13,18,14,18,23
42,2025-10-12 13:48:41,1571,148,26,23,38,16,29,16
43,2025-10-12 13:50:16,1151,125,30,18,14,15,19,29
44,2025-10-12 13:51:33,1571,150,38,21,29,13,21,28
45,2025-10-12 13:53:04,1571,144,36,15,24,27,16,26
46,2025-10-12 13:54:27,1571,150,46,24,12,21,24,23
47,2025-10-12 13:55:58,1571,148,25,15,39,35,20,14
48,2025-10-12 13:57:39,1163,144,34,23,29,16,18,24
49,2025-10-12 13:59:45,1571,148,46,29,12,7,23,31
50,2025-10-12 14:01:05,1571,131,37,12,29,20,13,20
