iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-23 21:47:49,1571,80,13,15,10,13,20,9
-3,2025-12-23 21:48:00,1571,80,16,8,11,14,15,16
-2,2025-12-23 21:48:12,1571,110,19,26,8,20,21,16
-1,2025-12-23 21:48:24,1571,91,11,16,11,14,23,16
0,2025-12-23 21:48:36,1571,104,14,21,5,28,19,17
1,2025-12-23 21:49:42,1571,148,24,22,23,24,25,30
2,2025-12-23 21:49:59,1571,84,12,13,13,15,18,13
3,2025-12-23 21:50:16,1571,122,23,29,3,1,35,31
4,2025-12-23 21:50:33,1571,98,12,15,11,24,16,20
5,2025-12-23 21:50:51,1571,98,13,14,13,19,14,25
6,2025-12-23 21:51:06,1571,119,13,25,14,26,18,23
7,2025-12-23 21:51:27,1571,128,27,31,0,6,28,36
8,2025-12-23 21:51:41,1571,131,13,24,16,27,21,30
9,2025-12-23 21:51:57,1571,114,9,19,15,25,19,27
10,2025-12-23 21:52:12,1571,90,9,17,13,19,16,16
11,2025-12-23 21:52:27,1571,148,24,22,23,24,25,30
12,2025-12-23 21:52:45,1571,87,12,15,14,14,20,12
13,2025-12-23 21:53:03,1571,83,12,15,14,12,15,15
14,2025-12-23 21:53:20,1571,89,14,16,9,16,18,16
15,2025-12-23 21:53:38,1571,94,12,18,9,21,19,15
16,2025-12-23 21:53:58,1571,89,12,15,16,16,20,10
17,2025-12-23 21:54:17,1571,87,17,17,13,13,18,9
18,2025-12-23 21:54:38,1571,98,13,22,10,17,17,19
19,2025-12-23 21:54:57,1571,129,17,25,14,23,22,28
20,2025-12-23 21:55:19,1571,86,14,16,13,14,16,13
21,2025-12-23 21:55:38,1571,86,14,13,13,17,19,10
22,2025-12-23 21:56:12,1571,81,15,10,13,9,21,13
23,2025-12-23 21:56:33,1571,97,11,20,14,14,28,10
24,2025-12-23 21:56:52,1571,98,14,17,12,21,12,22
25,2025-12-23 21:57:12,1571,79,11,11,14,15,16,12
26,2025-12-23 21:57:32,1571,79,12,12,10,18,14,13
27,2025-12-23 21:57:53,1571,85,13,14,13,18,16,11
28,2025-12-23 21:58:18,1571,118,27,22,0,0,37,32
29,2025-12-23 21:58:41,1571,88,11,16,10,20,15,16
