iter,step,x,y,z,error_m,timestamp
-9,2738,0.09016932387033724,-0.25959698426669764,0.51,0.001908776764279158,2026-01-11 15-52-54
-9,2739,0.09319472322718345,-0.2579766772528542,0.51,0.002648348924066048,2026-01-11 15-52-54
-9,2740,0.09620838582924789,-0.2563574128777726,0.51,0.003166704174992721,2026-01-11 15-52-54
-9,2741,0.0992104734112127,-0.25473905975551364,0.51,0.003542334643814366,2026-01-11 15-52-54
-9,2742,0.1022011621483122,-0.2531214787494578,0.51,0.003771770510889707,2026-01-11 15-52-54
-9,2743,0.10518064230310768,-0.25150452317927047,0.51,0.0038866683634762034,2026-01-11 15-52-54
-9,2744,0.10814911785553968,-0.2498880390379356,0.51,0.003814297415956916,2026-01-11 15-52-54
-9,2745,0.11110680611679176,-0.2482718652186403,0.51,0.003658279995773305,2026-01-11 15-52-54
-9,2746,0.11405393732749958,-0.24665583375129105,0.51,0.0034050553510358663,2026-01-11 15-52-54
-9,2747,0.11699075424083781,-0.24503977004844008,0.51,0.003117065962703669,2026-01-11 15-52-55
-9,2748,0.11991751169101703,-0.24342349316039763,0.51,0.0027426633113970885,2026-01-11 15-52-55
-9,2749,0.12283447614772121,-0.24180681603930257,0.51,0.0023904623480954473,2026-01-11 15-52-55
-9,2750,0.12574192525701652,-0.24018954581192112,0.51,0.002086257269047308,2026-01-11 15-52-55
-9,2751,0.12864014736926094,-0.23857148406093923,0.51,0.0017820305543856992,2026-01-11 15-52-55
-9,2752,0.13152944105454467,-0.2369524271145098,0.51,0.001452123516241975,2026-01-11 15-52-55
-8,2739,0.10959738913245011,-0.259542502389162,0.51,0.0015836514987858145,2026-01-11 15-53-17
-8,2740,0.11265933034029928,-0.2576237553028292,0.51,0.002527450242628944,2026-01-11 15-53-17
-8,2741,0.11570710512649085,-0.25571071818835556,0.51,0.0032002193071279487,2026-01-11 15-53-17
-8,2742,0.11874083821888602,-0.2538033064240538,0.51,0.0036681275692168076,2026-01-11 15-53-18
-8,2743,0.12176066949805996,-0.2519014253480909,0.51,0.003922407216561705,2026-01-11 15-53-18
-8,2744,0.12476675361961626,-0.2500049705104354,0.51,0.0039556119281066926,2026-01-11 15-53-18
-8,2745,0.12775925962058493,-0.2481138279354007,0.51,0.0037428146884749833,2026-01-11 15-53-18
-8,2746,0.1307383705105017,-0.24622787439443355,0.51,0.003469287882144908,2026-01-11 15-53-18
-8,2747,0.1337042828477632,-0.24434697768879846,0.51,0.002979155571244843,2026-01-11 15-53-18
-8,2748,0.13665720630185044,-0.24247099694180851,0.51,0.0023841205966834583,2026-01-11 15-53-18
-8,2749,0.13959736320200877,-0.2405997829002539,0.51,0.0012625259295672112,2026-01-11 15-53-18
-7,2763,0.2073186938650472,-0.2373546711992284,0.51,0.0015068609226089637,2026-01-11 15-53-42
-7,2764,0.21005777342995627,-0.23514518091772954,0.51,0.0024094071560769675,2026-01-11 15-53-42
-7,2765,0.2127884223545196,-0.23293731431168627,0.51,0.0031214616007680896,2026-01-11 15-53-42
-7,2766,0.21551098719118192,-0.230730796336412,0.51,0.003643024087223363,2026-01-11 15-53-42
-7,2767,0.21822581745902825,-0.2285253497260652,0.51,0.0039775233373271265,2026-01-11 15-53-42
-7,2768,0.22093326505327424,-0.2263206955023706,0.51,0.004176066492623186,2026-01-11 15-53-42
-7,2769,0.22363368365315586,-0.2241165534854381,0.51,0.0042328425248271545,2026-01-11 15-53-42
-7,2770,0.22632742812885728,-0.22191264280612724,0.51,0.004191176395160335,2026-01-11 15-53-42
