iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
-19,2026-01-11 15-49-45,executed,38.51523323834056,64.07761831463496,62.80389159952097,31.77473083209779,-4.230834414432098,-38.41266336103759,-57.927542168129975,-55.322035403197326,-31.59135856899884,4.200518561736312,-45.71049269209838,-15.901886324705476,20.64797160340284,50.58589069200744,59.52227466350485,45.67664635699777,14.383969600421265,-22.402895030344656,-50.63261544328226,-59.522485631051424
-18,2026-01-11 15-50-02,proposed,45.18511380187524,64.3357491252977,55.02769746760279,41.26106905704722,2.785883532043031,-48.92347900010877,-61.603023329301635,-66.6966323104476,-44.812833794907434,21.92310134481062,-49.18508260231701,-9.200484695733962,23.870686806895893,51.18932003371232,49.0877746460376,35.57722759111931,18.801333324243327,-11.114126495876643,-69.01329312086176,-68.9101719422527
-18,2026-01-11 15-50-02,executed,45.18511380187524,64.3357491252977,55.02769746760279,41.26106905704722,2.785883532043031,-48.92347900010877,-61.603023329301635,-66.6966323104476,-44.812833794907434,21.92310134481062,-49.18508260231701,-9.200484695733962,23.870686806895893,51.18932003371232,49.0877746460376,35.57722759111931,18.801333324243327,-11.114126495876643,-69.01329312086176,-68.9101719422527
-17,2026-01-11 15-50-19,proposed,58.4772355283671,56.63541460524921,51.864893871388496,31.35296519063761,-7.922279024159365,-63.3106117984568,-55.9588548141053,-63.73941343422422,-61.076876128014284,24.11875333229138,-42.39703461206638,9.692242618418852,33.486070793679055,52.22943199054971,44.27612147322757,44.07951290340175,33.33557998830415,-0.5367521400655448,-67.35767704927903,-63.759988161856086
-17,2026-01-11 15-50-19,executed,58.4772355283671,56.63541460524921,51.864893871388496,31.35296519063761,-7.922279024159365,-63.3106117984568,-55.9588548141053,-63.73941343422422,-61.076876128014284,24.11875333229138,-42.39703461206638,9.692242618418852,33.486070793679055,52.22943199054971,44.27612147322757,44.07951290340175,33.33557998830415,-0.5367521400655448,-67.35767704927903,-63.759988161856086
-16,2026-01-11 15-50-36,proposed,60.75996642502795,66.90431763687923,43.469045381736684,25.441150011631127,-17.491161990679466,-65.53386874205498,-62.1580058900923,-45.36036765374483,-81.60918369169335,32.80458384733766,-51.60437900777126,7.369123982313079,55.01563977123466,38.88281728004668,45.039917977918456,31.61862013495383,45.35830305807498,-11.036167964801184,-56.79157596830315,-67.95676486885718
-16,2026-01-11 15-50-36,executed,60.75996642502795,66.90431763687923,43.469045381736684,25.441150011631127,-17.491161990679466,-65.53386874205498,-62.1580058900923,-45.36036765374483,-81.60918369169335,32.80458384733766,-51.60437900777126,7.369123982313079,55.01563977123466,38.88281728004668,45.039917977918456,31.61862013495383,45.35830305807498,-11.036167964801184,-56.79157596830315,-67.95676486885718
-15,2026-01-11 15-50-54,proposed,62.71989854162733,47.491953634118374,50.60690017599225,32.06263149684882,-19.779783201142667,-62.816360482251,-62.44869539457092,-62.95618874978541,-89.551989206336,39.030808833584885,-50.01097600626926,-5.77391126854608,64.57820518866491,30.92190996026601,35.78778481724139,21.298848205624285,39.514958418290654,16.42308473318128,-51.815383812368594,-47.075655315803175
-15,2026-01-11 15-50-54,executed,62.71989854162733,47.491953634118374,50.60690017599225,32.06263149684882,-19.779783201142667,-62.816360482251,-62.44869539457092,-62.95618874978541,-89.551989206336,39.030808833584885,-50.01097600626926,-5.77391126854608,64.57820518866491,30.92190996026601,35.78778481724139,21.298848205624285,39.514958418290654,16.42308473318128,-51.815383812368594,-47.075655315803175
-14,2026-01-11 15-51-11,proposed,75.57595269395014,44.456419861056865,56.79765679468673,36.02261698828655,-17.54572672358871,-63.35975465453711,-64.24145865569854,-60.527869024371185,-81.34142372631678,51.20134541793787,-44.4164894035362,-2.00648182865691,58.96681342708057,20.845073424138917,48.049617140070396,15.994283089204796,36.760127581201424,13.510651265016168,-54.18932975427419,-52.17912599891945
