epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,540.386,1.46833,0.6793,0.81527,0.87315,0.3618,0.60469,0.37613,1.621,0.78234,0.82451,0.0017228,0.0017228,0.0017228
44,552.103,1.31788,0.63465,0.81359,0.87835,0.36396,0.60887,0.37419,1.57154,0.756,0.82202,0.0017162,0.0017162,0.0017162
45,563.9,1.2763,0.6284,0.81035,0.88032,0.36477,0.60366,0.36305,1.58561,0.74412,0.81852,0.0017096,0.0017096,0.0017096
46,575.33,1.27393,0.62527,0.80991,0.89746,0.37187,0.62332,0.37887,1.56448,0.76552,0.82196,0.001703,0.001703,0.001703
47,586.813,1.27324,0.60174,0.80883,0.88778,0.36786,0.61284,0.36789,1.5992,0.89439,0.83038,0.0016964,0.0016964,0.0016964
48,597.904,1.27407,0.6129,0.80992,0.8762,0.36307,0.60745,0.37809,1.55493,0.74096,0.82136,0.0016898,0.0016898,0.0016898
49,609.277,1.25802,0.59919,0.81276,0.88394,0.36627,0.61082,0.37353,1.60036,0.78933,0.82103,0.0016832,0.0016832,0.0016832
50,621.575,1.27944,0.60598,0.80875,0.87072,0.36079,0.60082,0.3644,1.60871,0.78837,0.82762,0.0016766,0.0016766,0.0016766
51,632.073,1.29165,0.6251,0.80947,0.88115,0.36512,0.61527,0.37873,1.59692,0.77854,0.82564,0.00167,0.00167,0.00167
52,642.989,1.29105,0.6471,0.81099,0.88882,0.36829,0.61729,0.37189,1.57409,0.74315,0.82286,0.0016634,0.0016634,0.0016634
53,653.741,1.23793,0.60847,0.81051,0.88125,0.36516,0.61399,0.37908,1.59764,0.75471,0.82498,0.0016568,0.0016568,0.0016568
54,663.699,1.27232,0.61606,0.80778,0.89746,0.37187,0.62046,0.38716,1.53769,0.77899,0.81891,0.0016502,0.0016502,0.0016502
55,674.681,1.24961,0.59773,0.80943,0.8919,0.36957,0.61726,0.38151,1.60502,0.79586,0.81515,0.0016436,0.0016436,0.0016436
56,684.872,1.27974,0.61544,0.80955,0.89498,0.37085,0.61965,0.38378,1.55025,0.7784,0.82023,0.001637,0.001637,0.001637
57,695.018,1.23154,0.58223,0.80806,0.88373,0.36619,0.61406,0.3734,1.59698,0.75335,0.81787,0.0016304,0.0016304,0.0016304
58,706.257,1.25958,0.6069,0.80934,0.87896,0.36421,0.60313,0.37231,1.5614,0.72875,0.81983,0.0016238,0.0016238,0.0016238
59,716.516,1.26498,0.59745,0.81048,0.85272,0.35334,0.5871,0.35417,1.61214,0.78408,0.8245,0.0016172,0.0016172,0.0016172
60,726.523,1.25254,0.59,0.80702,0.88072,0.36494,0.60535,0.36905,1.62769,0.80133,0.82342,0.0016106,0.0016106,0.0016106
61,736.696,1.24607,0.59231,0.80745,0.88513,0.36676,0.61127,0.37648,1.62824,0.7896,0.83185,0.001604,0.001604,0.001604
62,747.536,1.2598,0.6052,0.80911,0.88892,0.36834,0.61781,0.37709,1.61325,0.793,0.82883,0.0015974,0.0015974,0.0015974
63,758.072,1.22787,0.58443,0.80221,0.8829,0.36584,0.61055,0.37522,1.55725,0.80037,0.82432,0.0015908,0.0015908,0.0015908
64,768.101,1.19135,0.57767,0.80739,0.90814,0.3763,0.63212,0.3948,1.53306,0.71943,0.81894,0.0015842,0.0015842,0.0015842
65,778.631,1.20816,0.57148,0.80519,0.88928,0.36849,0.61817,0.38892,1.53674,0.76542,0.82125,0.0015776,0.0015776,0.0015776
66,790.237,1.2681,0.59203,0.80532,0.9029,0.37413,0.62429,0.3793,1.56047,0.76268,0.81876,0.001571,0.001571,0.001571
67,799.734,1.24249,0.58783,0.80754,0.89566,0.37113,0.62067,0.37658,1.59918,0.75954,0.81706,0.0015644,0.0015644,0.0015644
68,811.819,1.23923,0.59725,0.80971,0.89068,0.36907,0.61283,0.38699,1.51748,0.73972,0.81621,0.0015578,0.0015578,0.0015578
69,822.65,1.19505,0.57085,0.80533,0.86283,0.35753,0.59674,0.37225,1.58847,0.83255,0.82913,0.0015512,0.0015512,0.0015512
70,833.717,1.22912,0.56792,0.80553,0.88842,0.36813,0.61721,0.37975,1.58568,0.78315,0.82424,0.0015446,0.0015446,0.0015446
71,843.721,1.23977,0.59081,0.80416,0.89792,0.37207,0.62257,0.39452,1.53295,0.77444,0.8195,0.001538,0.001538,0.001538
72,855.019,1.23281,0.57986,0.80537,0.88996,0.36877,0.6197,0.36941,1.62314,0.85075,0.8238,0.0015314,0.0015314,0.0015314
73,865.448,1.25969,0.59025,0.80783,0.8957,0.37115,0.62537,0.39097,1.55264,0.72958,0.81604,0.0015248,0.0015248,0.0015248
74,876.396,1.23741,0.58669,0.80521,0.89649,0.37147,0.62227,0.38865,1.54386,0.78899,0.81782,0.0015182,0.0015182,0.0015182
75,886.651,1.19963,0.57499,0.8038,0.90312,0.37422,0.62832,0.39563,1.54983,0.74331,0.81383,0.0015116,0.0015116,0.0015116
76,897.511,1.1863,0.56724,0.80669,0.88817,0.36803,0.61483,0.38524,1.5347,0.76067,0.81994,0.001505,0.001505,0.001505
77,908.061,1.22798,0.59402,0.80851,0.90939,0.37682,0.63117,0.39154,1.53628,0.73314,0.81376,0.0014984,0.0014984,0.0014984
78,918.785,1.22039,0.58143,0.80588,0.8757,0.36286,0.60855,0.3807,1.51708,0.73618,0.81658,0.0014918,0.0014918,0.0014918
79,927.987,1.1903,0.57303,0.80931,0.88538,0.36687,0.60777,0.37077,1.56267,0.74952,0.81577,0.0014852,0.0014852,0.0014852
80,936.621,1.2244,0.58619,0.80526,0.8781,0.36385,0.60608,0.3608,1.62197,0.76797,0.81934,0.0014786,0.0014786,0.0014786
81,948.617,1.21772,0.57926,0.80611,0.86344,0.35778,0.59766,0.37673,1.554,0.82878,0.81876,0.001472,0.001472,0.001472
82,959.472,1.20043,0.57088,0.80186,0.85925,0.35604,0.59075,0.37401,1.51383,0.73209,0.81502,0.0014654,0.0014654,0.0014654
83,970.505,1.16584,0.5518,0.80015,0.89136,0.36935,0.62041,0.38626,1.56483,0.74877,0.82154,0.0014588,0.0014588,0.0014588
84,983.918,1.17782,0.56254,0.80247,0.88355,0.36611,0.61539,0.38247,1.53972,0.71598,0.81589,0.0014522,0.0014522,0.0014522
85,995.428,1.19423,0.55836,0.80454,0.89846,0.37229,0.62494,0.3905,1.52361,0.75214,0.81117,0.0014456,0.0014456,0.0014456
86,1007.54,1.20014,0.57869,0.80464,0.90466,0.37486,0.6303,0.39492,1.52718,0.70695,0.8165,0.001439,0.001439,0.001439
87,1018.38,1.19718,0.56961,0.80243,0.90201,0.37376,0.63049,0.41217,1.4998,0.71403,0.81351,0.0014324,0.0014324,0.0014324
88,1029.55,1.18082,0.5521,0.79819,0.90108,0.37337,0.62599,0.38956,1.58651,0.76132,0.81781,0.0014258,0.0014258,0.0014258
89,1042.33,1.20871,0.56473,0.80205,0.90108,0.37337,0.62366,0.39489,1.50282,0.71344,0.81389,0.0014192,0.0014192,0.0014192
90,1053.03,1.19135,0.57193,0.80356,0.90014,0.37299,0.62765,0.40736,1.50097,0.71959,0.8165,0.0014126,0.0014126,0.0014126
91,1062.47,1.21663,0.57271,0.80397,0.88247,0.36567,0.61234,0.38136,1.56969,0.78445,0.8217,0.001406,0.001406,0.001406
92,1072.76,1.19138,0.5643,0.80443,0.899,0.37251,0.62785,0.39808,1.5148,0.76779,0.81579,0.0013994,0.0013994,0.0013994
93,1083.23,1.1612,0.55031,0.80248,0.89133,0.36933,0.61507,0.39865,1.49001,0.77032,0.81312,0.0013928,0.0013928,0.0013928
94,1093.95,1.16351,0.54985,0.80256,0.88487,0.36666,0.61186,0.38789,1.5193,0.75687,0.81778,0.0013862,0.0013862,0.0013862
95,1105.25,1.17082,0.55195,0.7969,0.9053,0.37513,0.62802,0.39816,1.51393,0.72981,0.81608,0.0013796,0.0013796,0.0013796
96,1115.93,1.1621,0.55369,0.79989,0.89935,0.37266,0.63129,0.39988,1.51779,0.72802,0.81312,0.001373,0.001373,0.001373
