iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-21 14:06:30,1571,87,13,12,15,19,18,10
-3,2025-12-21 14:06:56,1571,81,13,13,10,13,16,16
-2,2025-12-21 14:07:23,1571,109,19,25,8,20,21,16
-1,2025-12-21 14:07:49,1571,95,8,17,18,14,23,15
0,2025-12-21 14:08:15,1571,105,17,19,5,28,19,17
1,2025-12-21 14:08:44,1571,148,26,26,19,18,27,32
2,2025-12-21 14:09:12,1571,148,26,23,17,22,29,31
3,2025-12-21 14:10:15,1571,113,31,26,3,1,30,22
4,2025-12-21 14:10:59,1571,135,28,16,9,23,29,30
5,2025-12-21 14:11:36,1571,109,7,26,2,15,33,26
6,2025-12-21 14:12:06,1571,141,27,23,5,18,36,32
7,2025-12-21 14:12:42,1571,148,29,22,18,19,27,33
8,2025-12-21 14:13:19,1571,148,28,22,20,18,26,34
9,2025-12-21 14:13:48,1571,145,26,22,20,18,27,32
10,2025-12-21 14:14:20,1571,121,31,19,10,6,20,35
11,2025-12-21 14:14:54,1571,133,25,16,17,15,29,31
12,2025-12-21 14:15:31,1571,148,24,22,23,21,25,33
13,2025-12-21 14:16:06,1571,135,30,31,9,8,22,35
14,2025-12-21 14:16:42,1571,137,27,24,21,11,30,24
15,2025-12-21 14:17:27,1571,129,23,22,14,7,33,30
16,2025-12-21 14:17:59,1571,148,25,26,19,19,29,30
17,2025-12-21 14:18:40,1571,141,26,22,20,18,26,29
18,2025-12-21 14:19:16,1571,145,26,22,17,21,25,34
19,2025-12-21 14:23:13,1571,135,26,22,18,16,25,28
20,2025-12-21 14:23:45,1571,144,29,22,16,19,26,32
21,2025-12-21 14:24:22,1571,148,24,22,19,19,31,33
22,2025-12-21 14:25:21,1532,110,19,20,10,9,26,26
23,2025-12-21 14:26:09,1571,130,25,35,4,8,25,33
24,2025-12-21 14:26:48,1570,140,19,14,32,23,24,28
25,2025-12-21 14:27:22,1571,139,27,21,15,17,25,34
26,2025-12-21 14:28:03,1560,116,17,22,24,23,16,14
27,2025-12-21 14:28:46,1571,136,25,22,19,18,25,27
28,2025-12-21 14:29:16,1571,141,30,24,8,16,29,34
29,2025-12-21 14:29:52,1571,136,20,28,20,16,34,18
30,2025-12-21 14:30:32,1571,127,25,20,13,15,25,29
31,2025-12-21 14:31:05,1571,145,27,30,14,14,29,31
32,2025-12-21 14:31:45,1571,128,24,32,10,12,28,22
33,2025-12-21 14:32:13,1571,148,28,23,20,19,25,33
34,2025-12-21 14:32:46,1571,134,26,22,14,14,28,30
35,2025-12-21 14:33:24,1571,136,27,23,18,8,27,33
36,2025-12-21 14:34:05,1571,118,32,20,8,8,17,33
37,2025-12-21 14:34:43,1571,143,24,22,20,18,29,30
38,2025-12-21 14:35:29,1558,139,26,23,7,25,29,29
39,2025-12-21 14:36:07,1571,135,27,22,16,17,27,26
40,2025-12-21 14:36:45,1571,136,23,22,18,19,28,26
41,2025-12-21 14:37:37,1571,130,29,20,11,13,27,30
42,2025-12-21 14:41:34,1571,137,24,23,19,17,25,29
43,2025-12-21 14:42:12,1571,144,24,22,23,16,26,33
44,2025-12-21 14:42:54,1571,113,5,32,16,14,34,12
45,2025-12-21 14:43:36,1571,111,21,26,2,18,19,25
46,2025-12-21 14:44:16,1571,144,24,22,25,17,26,30
47,2025-12-21 14:44:52,1571,139,28,23,15,16,28,29
48,2025-12-21 14:45:22,1571,148,24,25,20,21,28,30
49,2025-12-21 14:46:00,1571,148,24,22,24,23,25,30
50,2025-12-21 14:46:42,1571,125,26,10,14,12,32,31
51,2025-12-21 14:47:29,1570,98,25,17,7,5,22,22
52,2025-12-21 14:48:11,1571,135,18,26,17,12,32,30
53,2025-12-21 14:48:49,1571,141,26,22,19,17,25,32
54,2025-12-21 14:49:35,1571,116,20,13,3,18,27,35
