iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-02 10:06:38,3141,197,39,40,32,21,30,35
2,2025-10-02 10:07:42,3141,197,39,39,37,19,32,31
3,2025-10-02 10:08:44,3141,197,37,41,37,19,30,33
4,2025-10-02 10:10:08,3141,197,40,39,34,18,35,31
5,2025-10-02 10:11:07,3141,197,42,42,26,17,39,31
6,2025-10-02 10:12:06,3141,197,37,40,36,19,35,30
