iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-02 02:18:23,3141,198,41,40,32,19,30,36
1,2025-10-02 02:19:17,3141,198,41,40,32,19,30,36
1,2025-10-02 09:36:52,3141,198,40,40,33,14,37,34
2,2025-10-02 09:38:20,3141,198,42,38,33,23,28,34
3,2025-10-02 09:39:22,3141,198,36,40,30,21,33,38
4,2025-10-02 09:40:44,3141,198,37,41,32,21,33,34
5,2025-10-02 09:41:06,3141,198,37,41,33,21,32,34
