epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,602.36,1.05036,0.52094,0.7927,0.88686,0.56806,0.71611,0.53357,1.00383,0.55439,0.79086,0.0017228,0.0017228,0.0017228
44,615.386,1.10444,0.55954,0.79807,0.89313,0.56611,0.70825,0.52557,0.99932,0.54553,0.78736,0.0017162,0.0017162,0.0017162
45,628.058,1.04572,0.51999,0.79526,0.88581,0.56558,0.71338,0.53732,0.97654,0.51613,0.79,0.0017096,0.0017096,0.0017096
46,641.307,1.09747,0.52483,0.80063,0.88589,0.56776,0.72382,0.5487,0.9409,0.51847,0.78863,0.001703,0.001703,0.001703
47,654.797,1.07903,0.52642,0.79604,0.88882,0.56898,0.71402,0.50653,1.12418,0.56839,0.79306,0.0016964,0.0016964,0.0016964
48,668.324,1.10198,0.53405,0.79744,0.88656,0.56543,0.71751,0.53542,0.96682,0.52484,0.78996,0.0016898,0.0016898,0.0016898
49,679.374,1.03189,0.4974,0.79475,0.89244,0.5658,0.71913,0.54138,0.96655,0.49938,0.78865,0.0016832,0.0016832,0.0016832
50,692.14,1.05226,0.51614,0.79467,0.8899,0.56789,0.71005,0.5355,0.93672,0.53289,0.78851,0.0016766,0.0016766,0.0016766
51,705,1.04369,0.4932,0.79771,0.89552,0.56657,0.72157,0.54403,0.95054,0.50621,0.78738,0.00167,0.00167,0.00167
52,716.176,1.02709,0.50557,0.79531,0.89109,0.5667,0.72097,0.54018,0.96373,0.52798,0.78797,0.0016634,0.0016634,0.0016634
53,728.615,1.02797,0.52442,0.79392,0.89735,0.56005,0.69077,0.51542,0.95399,0.53661,0.78738,0.0016568,0.0016568,0.0016568
54,741.974,1.03221,0.5084,0.79648,0.89032,0.56852,0.72781,0.54762,0.9856,0.55746,0.78857,0.0016502,0.0016502,0.0016502
55,755.967,1.09129,0.51587,0.79501,0.8928,0.56654,0.71047,0.52583,0.98809,0.55388,0.78852,0.0016436,0.0016436,0.0016436
56,767.97,1.04201,0.50748,0.79449,0.89068,0.56637,0.72096,0.53538,1.00438,0.49967,0.78951,0.001637,0.001637,0.001637
57,780.458,1.02785,0.49659,0.79671,0.88253,0.56337,0.68988,0.51906,0.94061,0.54981,0.78719,0.0016304,0.0016304,0.0016304
58,795.07,1.01186,0.48561,0.7943,0.89555,0.5642,0.71329,0.54097,0.94126,0.5449,0.78654,0.0016238,0.0016238,0.0016238
59,812.368,0.98095,0.4984,0.79439,0.8925,0.56697,0.70764,0.54182,0.93344,0.49886,0.78552,0.0016172,0.0016172,0.0016172
60,827.437,1.01524,0.48508,0.79221,0.88876,0.56588,0.72435,0.54199,0.97625,0.49677,0.79017,0.0016106,0.0016106,0.0016106
61,840.805,0.99832,0.47871,0.79592,0.88902,0.56489,0.72061,0.54878,0.90781,0.48049,0.78713,0.001604,0.001604,0.001604
62,854.711,0.97861,0.46365,0.7913,0.89738,0.56429,0.71955,0.53105,1.01546,0.51737,0.79073,0.0015974,0.0015974,0.0015974
63,869.343,1.00481,0.48961,0.79103,0.88822,0.56388,0.71764,0.54772,0.91441,0.52604,0.78684,0.0015908,0.0015908,0.0015908
64,886.258,1.009,0.47169,0.79267,0.88692,0.56487,0.71755,0.54929,0.9299,0.48816,0.78719,0.0015842,0.0015842,0.0015842
65,899.946,0.99204,0.47427,0.79153,0.88945,0.56532,0.71691,0.54071,0.94252,0.52347,0.78738,0.0015776,0.0015776,0.0015776
66,911.99,0.98885,0.47065,0.79091,0.89859,0.56797,0.7302,0.55503,0.95454,0.48973,0.78697,0.001571,0.001571,0.001571
