iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
87,2025-10-13 00:25:00,1571,147,27,15,42,20,24,19
88,2025-10-13 00:26:30,1381,128,20,51,0,12,27,18
89,2025-10-13 00:28:04,1408,139,38,19,36,12,20,14
90,2025-10-13 00:31:28,1408,139,38,19,36,12,20,14
91,2025-10-13 00:32:52,1201,139,37,15,21,25,18,23
92,2025-10-13 00:34:10,1571,142,36,20,24,9,21,32
93,2025-10-13 00:35:31,1571,130,28,17,30,12,19,24
94,2025-10-13 00:36:57,1571,135,23,29,17,19,26,21
95,2025-10-13 00:38:17,1476,140,29,14,16,34,28,19
96,2025-10-13 00:39:46,1571,132,37,12,23,21,12,27
97,2025-10-13 00:41:12,1571,147,36,21,20,14,30,26
98,2025-10-13 00:42:43,1466,131,30,22,25,0,25,29
99,2025-10-13 00:46:10,1466,131,30,22,25,0,25,29
100,2025-10-13 00:47:27,1476,128,37,20,6,3,33,29
101,2025-10-13 00:48:47,1571,143,39,20,25,10,35,14
102,2025-10-13 00:50:11,1503,133,32,18,24,22,20,17
103,2025-10-13 00:51:26,1549,135,32,23,27,13,24,16
104,2025-10-13 00:52:42,1571,149,32,23,31,18,22,23
105,2025-10-13 00:56:03,1571,149,32,23,31,18,22,23
106,2025-10-13 00:57:16,1571,140,26,24,16,33,30,11
107,2025-10-13 00:58:53,1462,125,18,15,36,18,18,20
108,2025-10-13 01:00:05,1479,138,29,11,45,17,17,19
109,2025-10-13 01:01:31,1571,136,22,23,30,23,20,18
110,2025-10-13 01:03:02,1571,140,28,17,33,22,20,20
111,2025-10-13 01:04:25,1571,133,25,19,28,20,24,17
112,2025-10-13 01:05:53,1571,145,28,17,34,23,23,20
113,2025-10-13 01:07:08,1571,142,34,13,17,13,39,26
114,2025-10-13 01:08:31,1571,145,25,21,41,10,29,19
115,2025-10-13 01:10:01,1571,131,18,22,40,13,17,21
116,2025-10-13 01:11:24,1571,135,26,25,24,8,26,26
117,2025-10-13 01:12:49,1571,132,45,24,10,4,24,25
118,2025-10-13 01:14:04,1571,144,25,27,32,24,23,13
119,2025-10-13 01:15:27,1514,135,21,26,12,20,24,32
120,2025-10-13 01:16:55,1451,123,34,21,24,14,19,11
121,2025-10-13 01:18:14,1571,139,30,15,27,22,20,25
122,2025-10-13 01:19:42,1571,119,33,29,22,13,12,10
123,2025-10-13 01:21:14,1447,125,38,23,14,7,20,23
124,2025-10-13 01:22:41,1571,134,32,6,28,17,26,25
125,2025-10-13 01:24:00,1571,136,37,17,26,15,29,12
126,2025-10-13 01:25:24,1571,139,28,17,29,28,18,19
127,2025-10-13 01:26:51,1423,125,35,15,23,22,16,14
128,2025-10-13 01:28:09,1571,131,31,33,12,5,23,27
129,2025-10-13 01:29:27,1571,143,30,13,29,23,27,21
130,2025-10-13 01:30:58,1571,125,30,19,23,20,10,23
131,2025-10-13 01:32:13,1571,150,32,18,33,20,22,25
132,2025-10-13 01:33:52,1447,128,26,11,31,29,20,11
133,2025-10-13 01:35:03,1571,150,28,20,35,24,20,23
134,2025-10-13 01:36:25,1570,129,36,23,4,24,21,21
135,2025-10-13 01:37:36,1568,137,33,23,28,13,25,15
136,2025-10-13 01:39:11,1148,134,29,18,29,13,21,24
137,2025-10-13 01:40:25,1571,150,33,16,27,22,28,24
138,2025-10-13 01:41:59,1571,139,28,17,29,20,10,35
139,2025-10-13 01:46:02,1571,138,19,20,19,34,14,32
140,2025-10-13 01:47:18,1571,143,37,24,33,9,21,19
141,2025-10-13 01:48:32,1571,139,30,24,18,14,28,25
142,2025-10-13 01:49:49,1496,132,29,17,30,25,16,15
143,2025-10-13 01:51:14,1571,140,30,23,29,22,14,22
144,2025-10-13 01:52:31,1571,114,4,7,46,13,23,21
145,2025-10-13 01:53:53,1571,115,15,1,21,36,17,25
146,2025-10-13 01:55:15,1452,116,9,12,29,20,24,22
147,2025-10-13 01:56:40,1565,135,28,17,39,26,15,10
148,2025-10-13 01:58:08,1450,140,35,22,14,17,25,27
149,2025-10-13 02:00:02,854,130,28,12,32,6,47,5
150,2025-10-13 02:01:22,1571,121,31,18,6,44,16,6
151,2025-10-13 02:03:04,1351,108,30,15,36,2,23,2
152,2025-10-13 02:04:27,1571,127,30,22,20,18,17,20
153,2025-10-13 02:06:19,630,141,33,12,32,13,49,2
154,2025-10-13 02:07:43,1571,136,38,12,14,32,21,19
155,2025-10-13 02:09:02,1571,134,34,33,12,10,31,14
156,2025-10-13 02:10:16,1571,139,31,17,23,20,25,23
157,2025-10-13 02:11:47,1410,125,17,21,33,20,22,12
158,2025-10-13 02:13:07,1571,126,29,14,18,19,33,13
159,2025-10-13 02:14:40,1432,135,34,25,14,5,27,30
160,2025-10-13 02:15:58,1571,147,28,17,32,25,22,23
161,2025-10-13 02:17:21,1430,135,22,21,26,26,32,8
162,2025-10-13 02:18:46,1571,130,40,28,9,9,28,16
163,2025-10-13 02:20:05,1571,141,30,13,31,17,22,28
164,2025-10-13 02:21:51,1290,148,28,20,36,11,27,26
165,2025-10-13 02:23:34,1571,142,28,18,31,14,23,28
166,2025-10-13 02:24:58,1548,138,41,26,9,9,27,26
167,2025-10-13 02:28:24,1548,138,41,26,9,9,27,26
168,2025-10-13 02:30:01,1571,133,33,31,15,11,29,14
169,2025-10-13 02:31:21,1571,142,31,13,31,17,24,26
170,2025-10-13 02:32:57,1528,121,36,19,11,22,18,15
171,2025-10-13 02:34:42,1169,133,21,17,33,23,17,22
172,2025-10-13 02:36:05,1569,143,35,14,31,17,17,29
173,2025-10-13 02:37:36,1571,150,28,17,34,23,22,26
174,2025-10-13 02:39:07,1460,97,36,8,26,25,0,2
175,2025-10-13 02:40:31,1571,150,35,21,34,17,18,25
176,2025-10-13 02:42:09,1571,103,22,14,44,0,19,4
177,2025-10-13 02:44:14,977,137,28,19,34,5,33,18
178,2025-10-13 02:45:55,1424,130,29,4,34,18,24,21
179,2025-10-13 02:47:19,1557,142,28,24,32,6,14,38
180,2025-10-13 02:49:02,1332,134,51,17,19,7,24,16
181,2025-10-13 02:50:41,1571,123,29,22,23,12,16,21
182,2025-10-13 02:52:05,1571,140,40,25,18,6,23,28
183,2025-10-13 02:53:37,1571,142,37,19,32,4,28,22
184,2025-10-13 02:55:01,1571,135,17,9,45,26,19,19
185,2025-10-13 02:56:38,1571,139,28,20,24,30,18,19
186,2025-10-13 02:58:05,1571,134,34,26,26,12,16,20
187,2025-10-13 02:59:40,1570,142,28,17,30,25,31,11
188,2025-10-13 03:01:04,1571,137,37,15,26,17,25,17
189,2025-10-13 03:02:39,1571,142,24,26,30,25,18,19
190,2025-10-13 03:04:02,1571,150,30,27,25,17,27,24
191,2025-10-13 03:05:30,1415,138,39,11,33,20,4,31
192,2025-10-13 03:07:01,1489,109,29,10,29,5,14,22
193,2025-10-13 03:08:13,1571,149,28,17,42,22,21,19
194,2025-10-13 03:09:43,1571,138,28,16,41,20,13,20
195,2025-10-13 03:11:01,1563,134,22,25,32,17,19,19
196,2025-10-13 03:12:40,1499,108,26,17,23,5,13,24
197,2025-10-13 03:14:18,1277,127,29,8,28,23,24,15
198,2025-10-13 03:16:00,1415,140,29,19,35,12,21,24
199,2025-10-13 03:17:22,1384,134,34,17,24,14,19,26
200,2025-10-13 03:18:57,1571,145,28,17,37,26,18,19
201,2025-10-13 03:20:15,1571,139,28,19,33,15,18,26
202,2025-10-13 03:21:53,1571,137,28,17,40,14,16,22
203,2025-10-13 03:23:17,1440,129,60,21,10,8,9,21
204,2025-10-13 03:25:01,1490,139,28,21,46,8,14,22
205,2025-10-13 03:26:19,1571,130,26,14,33,24,19,14
206,2025-10-13 03:28:08,1571,147,36,31,16,15,33,16
207,2025-10-13 03:29:33,1163,130,28,17,35,25,15,10
208,2025-10-13 03:31:07,1400,97,30,16,36,12,3,0
209,2025-10-13 03:32:25,1466,135,25,18,34,1,46,11
210,2025-10-13 03:34:03,1571,131,30,20,18,26,18,19
211,2025-10-13 03:35:28,1428,107,34,18,18,13,22,2
212,2025-10-13 03:37:06,1398,125,39,15,14,21,21,15
213,2025-10-13 03:38:55,1417,100,31,19,32,12,3,3
214,2025-10-13 03:40:38,1430,100,34,7,29,22,8,0
215,2025-10-13 03:42:19,1511,83,6,4,28,22,11,12
216,2025-10-13 03:43:56,1353,136,24,17,23,21,27,24
217,2025-10-13 03:47:32,1353,136,24,17,23,21,27,24
218,2025-10-13 03:49:04,1571,136,38,24,12,15,26,21
219,2025-10-13 03:50:40,1492,118,22,14,33,8,6,35
220,2025-10-13 03:54:12,1492,118,22,14,33,8,6,35
221,2025-10-13 03:55:35,1571,107,34,22,23,6,22,0
222,2025-10-13 03:57:05,1571,129,20,15,31,28,17,18
223,2025-10-13 03:58:49,1571,136,28,24,27,21,19,17
224,2025-10-13 04:00:19,1497,116,35,22,10,8,26,15
225,2025-10-13 04:01:53,1571,135,25,12,40,8,18,32
226,2025-10-13 04:03:47,1571,134,28,17,28,18,22,21
227,2025-10-13 04:05:06,1563,139,28,17,35,27,15,17
228,2025-10-13 04:06:33,1571,131,38,14,11,26,19,23
229,2025-10-13 04:08:04,1571,144,28,17,32,24,23,20
230,2025-10-13 04:09:28,1328,141,28,17,34,17,20,25
231,2025-10-13 04:10:56,1571,130,28,16,28,12,28,18
232,2025-10-13 04:12:23,1469,133,28,21,30,15,27,12
233,2025-10-13 04:13:57,1571,138,20,18,37,29,20,14
234,2025-10-13 04:15:36,1506,122,26,16,28,15,16,21
235,2025-10-13 04:17:12,1571,119,28,18,32,13,28,0
236,2025-10-13 04:18:48,1571,139,28,17,30,24,22,18
237,2025-10-13 04:20:12,1571,131,16,14,34,27,27,13
238,2025-10-13 04:21:54,1379,131,28,14,38,9,28,14
239,2025-10-13 04:23:18,1571,142,30,17,26,26,23,20
240,2025-10-13 04:24:55,1571,131,30,19,18,26,18,20
241,2025-10-13 04:26:39,1571,121,28,18,32,14,29,0
242,2025-10-13 04:28:00,1571,150,41,21,25,20,23,20
243,2025-10-13 04:29:43,1571,141,28,17,31,29,19,17
244,2025-10-13 04:31:02,1531,121,28,15,21,14,20,23
245,2025-10-13 04:32:42,1240,144,28,17,38,16,19,26
246,2025-10-13 04:34:17,1571,141,28,19,32,21,21,20
247,2025-10-13 04:35:53,1571,148,28,17,38,27,19,19
248,2025-10-13 04:37:25,1571,133,36,16,18,26,18,19
249,2025-10-13 04:38:50,1571,149,32,20,31,17,30,19
250,2025-10-13 04:40:18,1571,150,31,20,29,18,29,23
251,2025-10-13 04:41:58,1571,140,27,19,23,33,21,17
252,2025-10-13 04:43:19,1571,134,37,17,19,11,34,16
253,2025-10-13 04:44:54,1571,144,34,28,22,13,20,27
254,2025-10-13 04:46:20,1530,133,45,2,23,19,16,28
255,2025-10-13 04:47:44,1571,128,29,21,29,6,37,6
256,2025-10-13 04:49:01,1553,148,28,24,39,20,18,19
257,2025-10-13 04:50:33,1446,137,28,14,41,9,24,21
258,2025-10-13 04:51:59,1571,148,33,19,34,9,31,22
259,2025-10-13 04:53:12,1571,136,35,19,30,23,16,13
260,2025-10-13 04:54:47,1571,142,41,30,22,7,18,24
261,2025-10-13 04:56:16,1571,139,32,13,32,21,20,21
262,2025-10-13 04:57:43,1213,126,19,15,32,26,13,21
263,2025-10-13 04:59:05,1571,148,44,25,15,12,27,25
264,2025-10-13 05:01:05,1106,124,29,16,18,17,21,23
265,2025-10-13 05:02:25,1571,134,28,15,29,14,25,23
266,2025-10-13 05:03:53,1571,127,26,25,13,23,21,19
267,2025-10-13 05:05:19,1571,140,33,19,24,16,27,21
268,2025-10-13 05:06:52,1571,149,34,21,30,23,21,20
269,2025-10-13 05:08:54,844,145,34,22,32,21,18,18
270,2025-10-13 05:10:14,1571,128,20,9,37,21,28,13
271,2025-10-13 05:11:59,1495,131,38,31,17,10,21,14
272,2025-10-13 05:13:14,1571,150,28,17,37,27,19,22
273,2025-10-13 05:15:16,774,143,36,11,30,20,25,21
274,2025-10-13 05:16:39,1571,149,29,21,36,16,30,17
275,2025-10-13 05:18:09,1571,136,31,14,26,13,23,29
276,2025-10-13 05:19:35,1295,128,28,17,40,15,11,17
277,2025-10-13 05:21:14,1385,133,25,10,42,17,26,13
278,2025-10-13 05:22:55,1571,130,31,20,27,16,11,25
279,2025-10-13 05:24:15,1535,119,13,26,27,19,21,13
280,2025-10-13 05:25:44,1571,143,41,22,17,9,32,22
281,2025-10-13 05:27:12,1571,139,28,25,35,13,19,19
282,2025-10-13 05:29:01,1571,141,39,20,23,13,33,13
283,2025-10-13 05:30:21,1571,144,28,17,47,16,17,19
284,2025-10-13 05:32:19,746,137,28,15,26,14,33,21
285,2025-10-13 05:34:27,686,141,28,14,35,21,26,17
286,2025-10-13 05:35:50,1571,147,31,20,35,15,26,20
287,2025-10-13 05:37:29,1360,129,4,24,24,50,12,15
288,2025-10-13 05:39:05,1571,135,23,17,35,24,16,20
289,2025-10-13 05:40:39,1571,150,32,21,27,12,31,27
290,2025-10-13 05:42:00,1435,142,29,16,18,32,24,23
291,2025-10-13 05:43:22,1571,109,30,13,24,13,12,17
292,2025-10-13 05:44:56,1439,118,29,5,24,23,18,19
293,2025-10-13 05:46:26,1365,132,40,23,18,11,18,22
294,2025-10-13 05:47:54,1445,142,27,21,15,28,23,28
295,2025-10-13 05:49:14,1571,141,45,16,23,9,28,20
296,2025-10-13 05:50:43,1571,149,37,15,25,21,29,22
297,2025-10-13 05:52:13,1366,138,42,11,5,29,24,27
298,2025-10-13 05:53:48,1563,142,30,8,40,17,25,22
299,2025-10-13 05:55:20,1326,141,28,17,48,16,19,13
300,2025-10-13 05:56:43,1571,127,27,23,30,19,14,14
301,2025-10-13 05:58:09,1481,127,33,17,24,15,18,20
302,2025-10-13 05:59:33,1571,147,31,17,29,22,26,22
303,2025-10-13 06:00:58,1571,133,29,25,19,16,28,16
304,2025-10-13 06:02:24,1319,142,32,18,34,19,18,21
305,2025-10-13 06:04:11,1571,139,28,24,28,11,24,24
306,2025-10-13 06:06:06,1178,115,29,17,5,20,28,16
307,2025-10-13 06:07:43,1571,133,28,21,31,21,18,14
308,2025-10-13 06:09:07,1496,117,30,21,30,5,24,7
309,2025-10-13 06:10:28,1571,128,39,17,19,16,29,8
310,2025-10-13 06:11:55,1545,99,13,15,28,10,15,18
311,2025-10-13 06:13:13,1571,133,28,23,21,20,27,14
312,2025-10-13 06:14:40,1518,93,14,16,26,13,11,13
313,2025-10-13 06:16:05,1570,141,28,17,36,17,19,24
314,2025-10-13 06:17:20,1571,139,29,16,31,33,14,16
315,2025-10-13 06:21:50,1571,138,38,17,20,28,28,7
316,2025-10-13 06:23:11,1571,138,28,20,24,17,25,24
317,2025-10-13 06:24:48,1570,127,37,15,23,7,13,32
318,2025-10-13 06:26:10,1470,129,40,16,28,1,8,36
319,2025-10-13 06:27:44,1571,139,34,10,30,25,27,13
320,2025-10-13 06:29:08,1571,128,34,17,28,27,16,6
321,2025-10-13 06:30:38,1571,140,38,17,16,22,24,23
322,2025-10-13 06:31:58,1571,136,31,16,16,27,24,22
323,2025-10-13 06:33:23,1536,122,32,17,13,25,26,9
324,2025-10-13 06:36:03,1571,141,33,11,26,22,22,27
325,2025-10-13 06:37:21,1571,143,32,25,26,26,23,11
326,2025-10-13 06:38:54,1403,122,39,10,31,17,13,12
327,2025-10-13 06:43:41,1571,135,31,12,31,15,27,19
328,2025-10-13 06:45:06,1571,142,26,19,30,14,29,24
329,2025-10-13 06:46:45,1571,149,24,19,41,24,27,14
330,2025-10-13 06:48:14,1571,142,65,7,32,3,18,17
331,2025-10-13 06:49:42,1571,138,35,17,13,30,31,12
332,2025-10-13 06:51:07,1571,138,33,20,12,40,15,18
333,2025-10-13 06:52:47,1571,149,34,20,31,21,26,17
334,2025-10-13 06:56:22,1571,149,34,20,31,21,26,17
335,2025-10-13 06:57:56,1527,110,32,30,22,3,2,21
336,2025-10-13 06:59:21,1571,130,29,14,26,17,23,21
337,2025-10-13 07:00:56,1340,133,26,9,12,32,23,31
338,2025-10-13 07:02:34,1416,120,31,23,14,12,25,15
339,2025-10-13 07:04:12,1571,120,28,13,22,24,14,19
340,2025-10-13 07:06:19,1264,110,24,24,10,18,9,25
341,2025-10-13 07:08:07,1286,122,27,28,18,21,14,14
342,2025-10-13 07:10:01,1260,142,30,21,32,16,24,19
343,2025-10-13 07:11:24,1571,125,44,11,10,21,15,24
344,2025-10-13 07:12:58,1571,140,40,21,17,11,29,22
345,2025-10-13 07:14:16,1571,127,26,16,20,19,32,14
346,2025-10-13 07:15:55,1381,124,26,36,3,17,26,16
347,2025-10-13 07:17:19,1571,133,29,15,27,17,20,25
348,2025-10-13 07:18:57,1416,120,31,23,14,12,25,15
349,2025-10-13 07:20:22,1563,72,3,0,28,7,25,9
350,2025-10-13 07:21:58,1476,115,30,20,27,17,19,2
351,2025-10-13 07:23:46,1563,72,5,0,28,6,21,12
352,2025-10-13 07:25:26,1423,134,39,10,18,29,29,9
353,2025-10-13 07:26:55,1571,135,28,17,29,22,12,27
354,2025-10-13 07:28:33,1571,144,30,26,19,13,31,25
355,2025-10-13 07:29:59,1563,72,5,0,28,6,21,12
356,2025-10-13 07:32:08,682,139,28,17,31,20,30,13
357,2025-10-13 07:33:59,1526,143,48,8,28,10,31,18
358,2025-10-13 07:35:25,1564,77,1,1,35,3,20,17
359,2025-10-13 07:37:05,1571,124,33,11,27,16,35,2
360,2025-10-13 07:38:55,1365,126,36,19,12,14,40,5
361,2025-10-13 07:40:22,1571,145,28,17,31,23,26,20
362,2025-10-13 07:42:11,1450,129,34,13,10,29,40,3
363,2025-10-13 07:43:36,1571,138,28,18,27,17,27,21
364,2025-10-13 07:45:15,1421,132,36,34,18,2,25,17
365,2025-10-13 07:46:25,1421,132,36,34,18,2,25,17
366,2025-10-13 07:47:57,1571,148,39,18,18,22,21,30
367,2025-10-13 07:49:28,1484,129,31,17,29,14,16,22
368,2025-10-13 07:50:59,1528,112,18,22,15,26,14,17
369,2025-10-13 07:52:19,1571,126,18,6,39,26,20,17
370,2025-10-13 07:53:55,1571,140,29,17,28,8,26,32
371,2025-10-13 07:55:22,1468,106,29,19,29,18,6,5
372,2025-10-13 07:56:55,1465,124,39,13,26,3,8,35
373,2025-10-13 07:58:36,1019,131,29,14,34,1,46,7
374,2025-10-13 08:00:00,1571,143,28,17,34,21,19,24
375,2025-10-13 08:01:49,1266,132,22,15,33,25,24,13
376,2025-10-13 08:03:18,1571,136,33,20,17,26,26,14
377,2025-10-13 08:05:41,50,145,26,17,40,22,18,22
378,2025-10-13 08:07:16,1571,140,39,17,17,18,30,19
379,2025-10-13 08:08:44,1571,138,40,22,20,14,20,22
380,2025-10-13 08:10:14,1571,135,39,25,20,7,19,25
381,2025-10-13 08:12:02,1436,126,28,19,20,13,17,29
382,2025-10-13 08:13:47,1571,128,41,17,17,3,23,27
383,2025-10-13 08:15:14,1270,122,34,17,22,24,23,2
384,2025-10-13 08:16:47,1571,138,41,21,11,14,32,19
385,2025-10-13 08:18:14,1571,127,26,25,13,23,21,19
386,2025-10-13 08:19:41,1571,134,28,17,31,13,25,20
387,2025-10-13 08:21:04,1510,136,31,17,28,12,19,29
388,2025-10-13 08:22:24,1571,145,28,17,33,28,18,21
389,2025-10-13 08:24:02,1383,129,47,2,36,8,10,26
