iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-23 14:54:57,1571,80,13,15,10,13,20,9
-3,2025-12-23 14:55:08,1571,80,16,8,11,14,15,16
-2,2025-12-23 14:55:19,1571,110,19,26,8,20,21,16
-1,2025-12-23 14:55:31,1571,91,11,16,11,14,23,16
0,2025-12-23 14:55:43,1571,104,14,21,5,28,19,17
1,2025-12-23 14:55:56,1571,148,24,22,24,23,25,30
2,2025-12-23 14:56:13,1571,134,24,30,7,8,32,33
3,2025-12-23 14:56:37,1571,136,20,33,11,8,31,33
4,2025-12-23 14:56:54,1571,112,18,27,2,2,27,36
5,2025-12-23 14:57:08,1571,142,33,23,10,10,28,38
6,2025-12-23 14:57:25,1571,84,18,7,15,19,16,9
7,2025-12-23 14:57:39,1571,148,26,23,21,20,28,30
8,2025-12-23 14:57:55,1571,148,24,22,24,23,25,30
9,2025-12-23 14:58:13,1571,82,10,9,15,13,19,16
10,2025-12-23 14:58:30,1571,82,21,8,12,14,16,11
11,2025-12-23 14:58:48,1571,86,15,6,20,18,14,13
12,2025-12-23 14:59:04,1571,84,13,11,13,21,16,10
13,2025-12-23 14:59:21,1571,88,14,16,12,19,19,8
14,2025-12-23 14:59:38,1571,88,15,8,13,17,19,16
15,2025-12-23 14:59:55,1571,136,20,32,12,8,31,33
16,2025-12-23 15:00:11,1571,148,26,25,11,23,31,32
17,2025-12-23 15:00:31,1571,59,5,13,9,3,19,10
18,2025-12-23 15:00:51,1571,132,20,25,12,20,26,29
19,2025-12-23 15:01:08,1571,100,11,23,12,8,22,24
20,2025-12-23 15:01:26,1571,144,27,30,10,16,29,32
21,2025-12-23 15:01:42,1571,112,10,20,11,18,25,28
22,2025-12-23 15:02:08,1571,69,14,11,12,1,22,9
23,2025-12-23 15:02:31,1571,62,6,15,10,1,19,11
24,2025-12-23 15:02:58,1571,65,9,15,11,0,20,10
25,2025-12-23 15:03:19,1571,75,5,22,10,2,16,20
26,2025-12-23 15:03:35,1571,143,24,27,10,22,27,33
27,2025-12-23 15:03:57,1571,74,7,20,11,6,17,13
28,2025-12-23 15:04:20,1571,66,13,15,11,1,16,10
29,2025-12-23 15:04:46,1571,55,5,12,8,4,18,8
30,2025-12-23 15:05:05,1571,70,6,20,11,4,15,14
31,2025-12-23 15:05:38,1571,58,3,17,7,6,18,7
32,2025-12-23 15:06:02,1571,68,7,13,13,1,21,13
33,2025-12-23 15:06:23,1571,73,4,18,9,2,22,18
34,2025-12-23 15:06:45,1571,67,5,21,11,4,20,6
35,2025-12-23 15:07:06,1571,69,7,15,11,4,25,7
36,2025-12-23 15:07:27,1571,148,28,25,15,16,32,32
37,2025-12-23 15:07:53,1571,61,3,14,13,4,21,6
38,2025-12-23 15:08:17,1571,70,8,14,12,3,20,13
39,2025-12-23 15:08:43,1571,66,10,12,8,1,25,10
40,2025-12-23 15:09:07,1571,52,6,19,2,9,7,9
41,2025-12-23 15:09:36,1571,47,12,3,2,11,10,9
42,2025-12-23 15:10:04,1571,45,10,2,2,12,11,8
43,2025-12-23 15:10:25,1571,65,13,18,0,9,17,8
44,2025-12-23 15:10:47,1571,61,16,14,1,8,14,8
45,2025-12-23 15:11:06,1571,62,15,10,3,8,19,7
46,2025-12-23 15:11:32,1571,73,14,21,0,16,17,5
47,2025-12-23 15:12:08,1571,64,20,9,4,11,17,3
48,2025-12-23 15:12:35,1570,47,14,3,4,0,16,10
49,2025-12-23 15:13:07,1571,68,13,16,1,11,19,8
50,2025-12-23 15:13:31,1571,71,17,9,3,6,24,12
51,2025-12-23 15:14:02,1567,65,19,5,3,11,14,13
52,2025-12-23 15:14:42,1571,71,12,18,3,6,17,15
53,2025-12-23 15:15:10,1571,50,14,2,4,13,11,6
54,2025-12-23 15:15:44,1571,65,9,11,0,16,20,9
55,2025-12-23 15:16:17,1571,68,9,15,7,15,18,4
56,2025-12-23 15:16:48,1571,64,20,9,4,11,17,3
57,2025-12-23 15:17:25,1571,62,8,13,3,12,20,6
58,2025-12-23 15:17:53,1571,63,18,9,1,11,18,6
59,2025-12-23 15:18:24,1571,54,7,8,3,15,19,2
60,2025-12-23 15:19:01,1571,50,11,13,2,8,6,10
61,2025-12-23 15:19:34,1571,70,14,15,4,10,16,11
62,2025-12-23 15:20:07,1571,56,8,12,2,7,18,9
63,2025-12-23 15:20:30,1571,148,24,22,23,24,25,30
64,2025-12-23 15:21:07,1571,72,10,14,3,8,25,12
65,2025-12-23 15:21:29,1571,148,25,23,24,21,25,30
66,2025-12-23 15:21:56,1571,62,10,14,1,9,18,10
67,2025-12-23 15:22:39,1571,54,15,4,3,7,15,10
68,2025-12-23 15:23:12,1570,44,16,7,2,2,14,3
69,2025-12-23 15:23:36,1571,92,12,17,8,13,23,19
70,2025-12-23 15:24:20,1566,42,9,2,7,7,16,1
71,2025-12-23 15:24:52,1571,65,12,18,0,6,13,16
72,2025-12-23 15:25:30,1571,55,14,15,1,10,6,9
73,2025-12-23 15:26:02,1571,60,18,5,2,4,16,15
74,2025-12-23 15:26:28,1571,137,32,22,21,12,24,26
75,2025-12-23 15:26:56,1571,70,15,17,1,7,16,14
76,2025-12-23 15:27:30,1571,97,28,9,31,3,11,15
77,2025-12-23 15:28:08,1571,73,15,14,4,12,23,5
78,2025-12-23 15:28:41,1552,48,16,5,2,5,18,2
79,2025-12-23 15:29:11,1571,52,8,18,0,4,15,7
80,2025-12-23 15:29:48,1571,54,6,7,14,5,14,8
81,2025-12-23 15:30:53,1454,35,7,0,7,6,6,9
82,2025-12-23 15:31:27,1571,78,15,11,7,10,21,14
83,2025-12-23 15:32:15,1454,42,4,1,8,16,8,5
84,2025-12-23 15:33:05,1454,33,7,0,3,7,7,9
85,2025-12-23 15:33:32,1571,68,14,13,5,12,22,2
86,2025-12-23 15:34:00,1571,134,26,25,17,11,30,25
87,2025-12-23 15:34:30,1571,74,12,13,4,13,16,16
88,2025-12-23 15:35:15,1563,56,21,0,2,6,15,12
89,2025-12-23 15:35:48,1571,56,11,4,1,10,19,11
90,2025-12-23 15:36:37,1454,44,8,6,4,12,6,8
91,2025-12-23 15:37:07,1571,65,12,15,0,11,20,7
92,2025-12-23 15:37:38,1571,48,15,0,5,12,15,1
93,2025-12-23 15:38:19,1571,69,10,17,0,18,16,8
94,2025-12-23 15:38:45,1571,111,20,24,11,7,27,22
95,2025-12-23 15:39:18,1571,54,13,10,3,4,12,12
96,2025-12-23 15:40:10,1454,37,10,0,6,9,5,7
97,2025-12-23 15:40:39,1571,62,12,13,2,9,15,11
98,2025-12-23 15:41:18,1571,59,11,13,6,7,21,1
99,2025-12-23 15:42:11,1454,24,5,0,2,6,9,2
100,2025-12-23 15:42:40,1571,71,12,17,1,10,18,13
101,2025-12-23 15:43:36,1450,32,8,1,2,4,9,8
102,2025-12-23 15:44:06,1570,41,10,5,0,3,16,7
103,2025-12-23 15:44:46,1560,59,18,8,1,1,15,16
104,2025-12-23 15:45:23,1571,90,26,6,17,2,29,10
105,2025-12-23 15:46:16,1450,36,6,1,4,11,7,7
106,2025-12-23 15:46:46,1571,70,14,18,1,7,18,12
107,2025-12-23 15:47:16,1571,67,15,14,0,16,15,7
108,2025-12-23 15:48:13,1446,32,6,0,3,9,7,7
109,2025-12-23 15:49:13,1454,32,5,3,7,8,3,6
110,2025-12-23 15:49:50,1571,69,3,17,5,9,21,14
111,2025-12-23 15:50:49,1448,35,6,0,8,6,8,7
112,2025-12-23 15:51:41,1455,42,11,1,4,6,10,10
113,2025-12-23 15:52:15,1571,67,11,13,1,15,20,7
114,2025-12-23 15:52:41,1571,64,14,12,3,7,23,5
115,2025-12-23 15:53:07,1571,148,24,22,24,23,25,30
116,2025-12-23 15:53:53,1571,40,5,1,4,2,18,10
117,2025-12-23 15:54:31,1571,74,11,14,8,10,21,10
118,2025-12-23 15:55:06,1571,59,9,14,2,7,23,4
119,2025-12-23 15:55:32,1571,139,27,24,24,9,26,29
120,2025-12-23 15:56:18,1571,72,13,16,6,10,17,10
121,2025-12-23 15:56:45,1571,104,17,16,8,15,25,23
122,2025-12-23 15:57:14,1571,82,12,14,6,13,24,13
123,2025-12-23 15:57:40,1571,145,28,29,19,10,29,30
124,2025-12-23 15:58:32,1454,37,5,4,6,6,9,7
125,2025-12-23 15:59:16,1556,62,17,5,2,5,17,16
126,2025-12-23 16:00:11,1454,31,7,4,0,4,9,7
127,2025-12-23 16:01:11,1452,33,6,1,6,6,6,8
128,2025-12-23 16:01:41,1571,72,18,12,3,13,14,12
129,2025-12-23 16:02:39,1449,31,4,1,4,11,7,4
130,2025-12-23 16:03:35,1450,40,8,1,11,9,10,1
131,2025-12-23 16:04:35,1454,38,7,1,5,11,8,6
132,2025-12-23 16:05:04,1571,65,11,18,2,11,19,4
133,2025-12-23 16:06:03,1448,33,4,1,4,8,6,10
134,2025-12-23 16:06:45,1571,59,8,23,4,0,20,4
135,2025-12-23 16:07:43,1423,35,0,3,13,4,10,5
136,2025-12-23 16:08:16,1571,60,5,12,2,12,21,8
137,2025-12-23 16:09:10,1452,32,5,7,2,4,9,5
138,2025-12-23 16:09:41,1571,124,27,17,14,17,19,30
139,2025-12-23 16:10:08,1571,133,22,21,21,19,24,26
140,2025-12-23 16:10:38,1571,133,22,21,22,18,23,27
141,2025-12-23 16:11:14,1571,77,17,14,4,8,20,14
142,2025-12-23 16:12:01,1571,70,12,10,4,6,23,15
143,2025-12-23 16:12:30,1571,84,9,13,14,7,28,13
144,2025-12-23 16:13:12,1556,59,19,5,2,6,11,16
145,2025-12-23 16:14:21,1451,43,12,3,7,3,9,9
146,2025-12-23 16:15:01,1552,34,7,2,0,5,11,9
147,2025-12-23 16:15:36,1571,61,9,15,2,15,16,4
148,2025-12-23 16:16:13,1571,64,9,17,3,9,16,10
149,2025-12-23 16:16:46,1571,52,8,14,2,7,8,13
150,2025-12-23 16:17:19,1571,60,13,13,4,9,15,6
151,2025-12-23 16:17:52,1569,55,16,6,0,1,17,15
152,2025-12-23 16:18:18,1571,148,24,22,24,23,25,30
153,2025-12-23 16:19:11,1453,31,5,1,4,13,7,1
154,2025-12-23 16:19:41,1571,148,27,27,17,17,32,28
155,2025-12-23 16:20:47,1454,46,8,1,7,13,8,9
156,2025-12-23 16:21:55,1443,64,9,0,3,18,1,33
157,2025-12-23 16:23:04,1449,29,2,1,5,10,5,6
158,2025-12-23 16:24:03,1452,38,8,6,4,5,6,9
159,2025-12-23 16:24:36,1571,58,8,15,6,12,14,3
160,2025-12-23 16:25:11,1571,67,14,12,2,11,18,10
161,2025-12-23 16:26:07,1454,32,10,0,3,7,9,3
162,2025-12-23 16:26:46,1571,147,30,28,18,14,26,31
163,2025-12-23 16:27:39,1449,33,6,0,3,7,9,8
164,2025-12-23 16:28:32,1446,33,2,1,8,8,9,5
165,2025-12-23 16:29:06,1571,82,9,17,20,15,17,4
166,2025-12-23 16:30:06,1446,27,7,1,0,9,5,5
167,2025-12-23 16:30:36,1571,117,22,23,9,10,29,24
168,2025-12-23 16:31:34,1451,43,6,1,3,12,7,14
169,2025-12-23 16:32:01,1571,148,26,28,19,15,28,32
170,2025-12-23 16:32:32,1571,69,11,17,6,5,22,8
171,2025-12-23 16:33:28,1448,29,6,0,0,11,9,3
172,2025-12-23 16:34:26,1446,27,3,1,9,7,5,2
173,2025-12-23 16:34:56,1571,80,16,12,4,11,22,15
174,2025-12-23 16:35:29,1571,145,28,24,24,11,27,31
175,2025-12-23 16:36:00,1571,129,18,22,20,17,24,28
176,2025-12-23 16:38:58,35,146,23,23,17,21,31,31
177,2025-12-23 16:39:31,1571,57,12,12,0,8,10,15
178,2025-12-23 16:40:42,1571,51,20,2,2,7,12,8
179,2025-12-23 16:41:40,1455,34,12,5,1,5,7,4
180,2025-12-23 16:42:15,1571,66,14,12,1,14,21,4
181,2025-12-23 16:42:55,1571,65,8,17,3,7,17,13
182,2025-12-23 16:43:35,1571,47,12,1,8,12,11,3
183,2025-12-23 16:44:46,1446,38,8,3,2,9,10,6
184,2025-12-23 16:45:50,1445,35,7,0,8,5,13,2
185,2025-12-23 16:46:24,1571,75,13,13,6,9,21,13
186,2025-12-23 16:47:01,1571,67,14,17,2,8,21,5
187,2025-12-23 16:47:36,1568,41,8,1,6,7,15,4
188,2025-12-23 16:48:11,1571,100,18,15,10,12,25,20
189,2025-12-23 16:49:20,1449,31,5,2,1,9,10,4
190,2025-12-23 16:50:05,1571,70,15,13,7,8,17,10
191,2025-12-23 16:50:51,1571,61,7,20,1,13,16,4
192,2025-12-23 16:51:45,1452,30,5,0,6,8,7,4
193,2025-12-23 16:52:25,1571,69,10,15,1,17,18,8
194,2025-12-23 16:53:20,1445,29,4,0,2,6,13,4
195,2025-12-23 16:54:05,1571,62,9,18,0,10,13,12
196,2025-12-23 16:54:42,1571,69,18,14,3,6,21,7
197,2025-12-23 16:55:17,1571,58,15,13,2,5,21,2
198,2025-12-23 16:55:52,1571,109,26,18,6,8,28,23
199,2025-12-23 16:56:47,1448,25,3,0,7,7,7,1
200,2025-12-23 16:57:42,1455,46,11,3,5,6,10,11
201,2025-12-23 16:58:37,1452,42,7,3,4,12,9,7
202,2025-12-23 16:59:19,1571,51,13,5,4,5,15,9
203,2025-12-23 16:59:52,1571,109,16,22,11,14,24,22
204,2025-12-23 17:00:25,1571,110,19,17,19,13,16,26
205,2025-12-23 17:01:20,1453,35,5,2,3,8,8,9
206,2025-12-23 17:02:20,1448,30,5,2,4,8,5,6
207,2025-12-23 17:02:48,1571,148,25,23,23,20,25,32
208,2025-12-23 17:03:49,1448,40,9,3,9,6,11,2
209,2025-12-23 17:04:55,1449,29,2,0,5,10,9,3
210,2025-12-23 17:05:31,1571,59,9,15,1,8,22,4
211,2025-12-23 17:06:12,1566,44,15,0,9,10,8,2
212,2025-12-23 17:07:15,1448,27,1,1,2,10,8,5
213,2025-12-23 17:07:48,1571,134,29,24,15,12,25,29
214,2025-12-23 17:08:46,1448,30,5,0,8,8,9,0
215,2025-12-23 17:09:27,1567,57,16,9,1,2,18,11
216,2025-12-23 17:10:11,1571,148,24,22,24,23,25,30
217,2025-12-23 17:10:51,1571,60,14,12,2,12,9,11
218,2025-12-23 17:11:20,1571,148,27,28,22,12,29,30
219,2025-12-23 17:11:48,1571,148,24,22,23,24,25,30
220,2025-12-23 17:12:24,1571,105,22,19,1,11,32,20
221,2025-12-23 17:13:25,1449,34,5,2,7,13,5,2
222,2025-12-23 17:14:25,1449,37,6,1,5,12,11,2
223,2025-12-23 17:15:21,1443,42,7,1,11,10,11,2
224,2025-12-23 17:15:59,1571,77,20,13,5,5,21,13
225,2025-12-23 17:16:46,1571,51,19,4,2,5,14,7
226,2025-12-23 17:17:22,1571,60,14,13,1,12,9,11
227,2025-12-23 17:17:55,1571,59,11,12,1,12,14,9
228,2025-12-23 17:18:40,1559,53,21,3,1,7,13,8
229,2025-12-23 17:19:18,1556,58,7,14,7,7,15,8
230,2025-12-23 17:19:56,1557,51,12,8,4,8,14,5
231,2025-12-23 17:20:55,1448,33,7,3,2,9,7,5
232,2025-12-23 17:21:57,1447,32,3,2,7,12,5,3
233,2025-12-23 17:22:47,1570,44,17,1,2,3,13,8
234,2025-12-23 17:24:06,1450,44,9,2,6,9,10,8
235,2025-12-23 17:24:48,1571,87,20,4,14,8,21,20
236,2025-12-23 17:25:46,1448,30,3,2,2,10,10,3
237,2025-12-23 17:26:23,1571,69,13,15,1,7,20,13
238,2025-12-23 17:26:56,1571,77,14,10,8,8,20,17
239,2025-12-23 17:27:38,1571,50,14,12,1,6,12,5
240,2025-12-23 17:28:17,1571,59,9,15,1,8,22,4
241,2025-12-23 17:28:50,1571,98,15,19,3,9,27,25
