iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-01 02:32:13,3141,198,41,36,36,21,33,31
1,2025-10-01 02:36:00,3141,198,41,36,36,21,33,31
2,2025-10-01 02:41:44,3141,198,43,36,28,14,34,43
3,2025-10-01 02:50:59,3141,195,42,35,23,19,31,45
4,2025-10-01 02:55:49,3141,197,44,37,25,18,29,44
