iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-02 09:54:03,3141,197,39,40,32,21,30,35
2,2025-10-02 09:54:57,3141,197,41,36,36,25,27,32
3,2025-10-02 09:56:04,3141,197,41,37,35,22,30,32
4,2025-10-02 09:57:13,3141,197,42,38,30,20,33,34
5,2025-10-02 09:58:10,3141,197,36,42,36,21,31,31
6,2025-10-02 09:59:31,3141,197,38,41,29,19,39,31
7,2025-10-02 10:01:10,3141,197,41,41,30,23,29,33
8,2025-10-02 10:02:22,3141,197,40,42,31,23,33,28
