iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-23 21:52:17,1571,80,13,15,10,13,20,9
-3,2025-12-23 21:52:28,1571,80,16,8,11,14,15,16
-2,2025-12-23 21:52:40,1571,110,19,26,8,20,21,16
-1,2025-12-23 21:52:52,1571,91,11,16,11,14,23,16
0,2025-12-23 21:53:04,1571,104,14,21,5,28,19,17
1,2025-12-23 21:53:23,1571,148,24,22,23,24,25,30
2,2025-12-23 21:53:42,1571,145,31,22,14,17,28,33
3,2025-12-23 21:54:05,1571,80,13,8,14,16,17,12
4,2025-12-23 21:54:21,1571,148,24,22,24,23,25,30
5,2025-12-23 21:54:46,1571,78,15,11,8,13,16,15
6,2025-12-23 21:55:04,1571,88,11,10,15,16,19,17
7,2025-12-23 21:55:25,1571,94,11,15,17,20,17,14
8,2025-12-23 21:55:47,1571,78,17,9,10,13,16,13
9,2025-12-23 21:56:17,1571,112,15,21,14,25,18,19
10,2025-12-23 21:56:39,1571,88,10,14,14,14,18,18
11,2025-12-23 21:56:59,1571,113,22,27,1,7,21,35
12,2025-12-23 21:57:18,1571,144,31,28,17,8,27,33
13,2025-12-23 21:57:38,1571,79,10,9,14,15,19,12
14,2025-12-23 21:58:05,1571,93,17,8,10,25,22,11
15,2025-12-23 21:58:27,1571,129,25,30,0,9,33,32
16,2025-12-23 21:58:48,1571,110,14,22,14,18,23,19
17,2025-12-23 21:59:12,1571,91,14,12,12,23,20,10
18,2025-12-23 21:59:33,1571,148,27,22,17,21,30,31
19,2025-12-23 21:59:56,1571,113,9,12,10,20,30,32
20,2025-12-23 22:00:24,1571,96,5,21,27,4,9,30
21,2025-12-23 22:00:46,1571,87,15,10,15,17,17,13
22,2025-12-23 22:01:09,1571,94,13,13,12,17,22,17
23,2025-12-23 22:01:35,1571,80,10,14,11,16,14,15
24,2025-12-23 22:02:00,1571,81,14,11,11,9,18,18
25,2025-12-23 22:02:22,1571,80,13,9,12,15,20,11
26,2025-12-23 22:02:42,1571,93,11,15,9,17,21,20
27,2025-12-23 22:03:09,1571,103,4,28,24,6,11,30
28,2025-12-23 22:03:30,1571,148,28,24,18,20,27,31
29,2025-12-23 22:03:58,1571,98,13,22,9,19,19,16
30,2025-12-23 22:04:23,1571,129,22,23,17,16,23,28
31,2025-12-23 22:04:48,1571,78,18,8,14,15,15,8
32,2025-12-23 22:05:11,1571,93,13,11,18,19,19,13
33,2025-12-23 22:05:37,1571,79,13,11,10,12,11,22
34,2025-12-23 22:06:07,1571,84,16,8,14,16,19,11
35,2025-12-23 22:06:38,1571,78,13,9,10,12,13,21
36,2025-12-23 22:07:03,1571,145,23,29,10,17,32,34
37,2025-12-23 22:07:36,1571,148,30,25,16,17,31,29
38,2025-12-23 22:08:06,1571,148,27,27,18,17,29,30
39,2025-12-23 22:08:58,1571,93,13,13,16,22,20,9
40,2025-12-23 22:09:22,1571,98,24,26,30,9,7,2
41,2025-12-23 22:09:50,1571,148,25,22,24,21,25,31
42,2025-12-23 22:10:45,1571,86,10,12,14,11,17,22
43,2025-12-23 22:11:14,1571,132,33,32,6,5,25,31
44,2025-12-23 22:11:48,1571,79,15,11,14,13,20,6
45,2025-12-23 22:12:16,1571,91,18,14,10,20,17,12
46,2025-12-23 22:12:46,1571,87,9,18,12,17,18,13
47,2025-12-23 22:13:41,1359,39,4,3,17,2,12,1
48,2025-12-23 22:14:31,1429,118,20,19,19,4,24,32
49,2025-12-23 22:15:56,1273,62,10,0,22,0,30,0
50,2025-12-23 22:16:39,1571,140,27,22,20,16,25,30
51,2025-12-23 22:17:11,1571,132,22,22,18,16,27,27
52,2025-12-23 22:29:14,1275,41,0,0,17,3,17,4
53,2025-12-23 22:30:15,1571,134,23,22,16,16,28,29
54,2025-12-23 22:31:12,1351,131,28,30,16,13,25,19
55,2025-12-23 22:32:06,1386,42,12,1,17,0,9,3
56,2025-12-23 22:32:55,1571,136,24,22,20,16,25,29
57,2025-12-23 22:33:26,1570,136,25,22,21,16,25,27
