iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-31 01:01:30,1571,135,15,22,24,30,17,27
2,2025-10-31 01:02:41,1571,140,25,21,22,19,25,28
3,2025-10-31 01:04:12,1571,150,25,25,24,21,30,25
4,2025-10-31 01:05:59,1571,150,27,21,20,17,27,38
5,2025-10-31 01:12:58,1571,148,24,22,25,23,31,23
6,2025-10-31 01:14:25,1571,150,30,21,20,22,25,32
7,2025-10-31 01:16:04,1571,141,25,23,3,15,35,40
8,2025-10-31 01:17:27,1571,150,26,29,18,7,36,34
9,2025-10-31 01:18:52,1571,150,28,21,22,19,27,33
10,2025-10-31 01:20:34,1571,142,30,25,19,9,29,30
11,2025-10-31 01:22:22,1571,143,25,27,24,7,26,34
12,2025-10-31 01:23:56,1571,150,24,21,21,22,27,35
13,2025-10-31 01:25:31,1571,137,30,21,20,19,19,28
14,2025-10-31 01:27:25,1571,150,25,26,25,12,23,39
15,2025-10-31 01:28:46,1571,147,29,22,22,15,25,34
16,2025-10-31 01:30:30,1379,144,27,23,4,32,30,28
17,2025-10-31 01:32:20,1571,148,28,21,22,18,27,32
18,2025-10-31 01:39:34,539,98,21,12,5,7,25,28
19,2025-10-31 01:40:59,1571,141,21,22,7,43,26,22
20,2025-10-31 01:42:21,1571,142,31,27,18,7,28,31
21,2025-10-31 01:43:46,1571,144,29,21,20,17,26,31
22,2025-10-31 01:45:16,1571,150,25,21,21,18,30,35
23,2025-10-31 01:47:09,1571,137,30,21,20,19,19,28
24,2025-10-31 01:48:33,1571,144,27,25,18,12,29,33
25,2025-10-31 01:49:52,1571,147,29,23,22,15,25,33
26,2025-10-31 01:51:19,1571,147,29,21,23,16,28,30
27,2025-10-31 01:52:31,1571,150,29,21,21,20,28,31
28,2025-10-31 01:54:23,1571,145,27,21,19,22,27,29
29,2025-10-31 01:55:46,1571,146,28,24,22,14,26,32
30,2025-10-31 01:57:52,1571,150,25,21,26,20,26,32
31,2025-10-31 01:59:13,1571,146,29,21,22,17,27,30
32,2025-10-31 02:00:28,1571,150,28,21,12,24,27,38
33,2025-10-31 02:02:11,1571,147,23,21,28,18,27,30
34,2025-10-31 02:03:34,1571,146,28,22,21,17,25,33
35,2025-10-31 02:05:09,1571,146,29,21,19,19,31,27
36,2025-10-31 02:06:53,1390,136,23,26,32,16,10,29
37,2025-10-31 02:08:44,1571,146,20,26,24,11,38,27
38,2025-10-31 02:10:29,1571,149,10,36,15,28,32,28
39,2025-10-31 02:11:52,1571,149,25,21,20,22,31,30
40,2025-10-31 02:13:27,1571,147,30,22,14,22,27,32
41,2025-10-31 02:14:53,1571,149,25,21,14,26,31,32
42,2025-10-31 02:16:22,1571,150,30,28,16,15,25,36
43,2025-10-31 02:17:39,1571,148,24,21,25,23,32,23
44,2025-10-31 02:19:06,1571,147,25,21,20,26,29,26
45,2025-10-31 02:26:05,1571,150,29,31,14,5,35,36
46,2025-10-31 02:27:43,1571,145,27,21,12,26,30,29
47,2025-10-31 02:29:16,1571,150,24,25,23,16,26,36
48,2025-10-31 02:30:57,1571,150,24,21,22,25,30,28
49,2025-10-31 02:32:28,1517,132,29,21,22,15,27,18
50,2025-10-31 02:34:44,884,143,24,21,19,23,27,29
51,2025-10-31 02:36:13,1571,149,29,21,18,18,34,29
52,2025-10-31 02:38:00,1571,150,28,21,12,24,27,38
53,2025-10-31 02:39:36,1571,150,26,34,15,10,27,38
54,2025-10-31 02:41:02,1571,148,27,21,21,23,28,28
55,2025-10-31 02:42:45,1571,145,24,21,24,19,25,32
56,2025-10-31 02:44:39,1571,149,24,21,24,23,25,32
57,2025-10-31 02:46:25,1566,145,24,21,24,19,27,30
58,2025-10-31 02:48:01,1571,146,29,21,22,17,27,30
59,2025-10-31 02:49:48,1571,150,24,22,20,23,29,32
60,2025-10-31 02:52:05,1571,145,29,24,17,17,29,29
61,2025-10-31 02:54:14,1571,149,26,22,24,18,26,33
62,2025-10-31 02:55:55,1571,147,26,21,10,37,29,24
63,2025-10-31 02:57:35,1571,150,24,26,22,12,34,32
64,2025-10-31 02:59:12,1278,148,26,21,10,29,32,30
65,2025-10-31 03:00:56,1571,150,29,21,24,17,26,33
66,2025-10-31 03:02:45,1321,142,12,29,5,41,29,26
67,2025-10-31 03:04:51,1571,150,24,28,20,13,30,35
68,2025-10-31 03:06:11,1571,150,24,21,17,29,26,33
69,2025-10-31 03:08:09,1100,146,24,21,26,16,28,31
70,2025-10-31 03:09:51,1571,149,25,21,26,21,26,30
71,2025-10-31 03:11:17,1571,147,28,21,23,16,27,32
72,2025-10-31 03:13:15,1571,140,28,15,31,11,26,29
73,2025-10-31 03:15:01,1278,148,26,21,13,26,32,30
74,2025-10-31 03:16:50,1571,149,32,21,14,23,27,32
75,2025-10-31 03:18:13,1571,149,29,22,20,20,27,31
76,2025-10-31 03:19:41,1571,150,28,26,17,17,25,37
77,2025-10-31 03:21:34,1571,147,26,21,24,17,29,30
78,2025-10-31 03:23:03,1571,150,24,29,22,12,30,33
79,2025-10-31 03:25:36,1571,150,24,21,26,20,27,32
80,2025-10-31 03:27:08,1571,137,29,19,5,9,33,42
81,2025-10-31 03:28:47,1571,150,27,21,21,19,29,33
82,2025-10-31 03:30:15,1571,150,29,21,21,20,28,31
83,2025-10-31 03:32:10,1571,149,26,21,23,19,27,33
84,2025-10-31 03:34:04,1571,150,29,27,15,20,25,34
85,2025-10-31 03:35:51,1571,150,24,21,24,22,28,31
86,2025-10-31 03:37:11,1571,148,25,30,8,21,37,27
87,2025-10-31 03:39:00,1571,150,29,31,19,11,25,35
88,2025-10-31 03:40:54,1571,150,28,24,19,15,31,33
89,2025-10-31 03:42:17,1571,149,24,21,25,22,25,32
90,2025-10-31 03:43:58,1571,150,25,21,20,18,30,36
91,2025-10-31 03:45:43,1571,150,24,21,27,19,25,34
92,2025-10-31 03:47:35,731,143,24,21,17,23,33,25
93,2025-10-31 03:49:14,1571,150,24,21,25,22,25,33
94,2025-10-31 03:51:05,1571,150,28,21,14,28,29,30
95,2025-10-31 03:51:55,1571,150,27,21,16,27,29,30
